headline,date,doc_type,material_type,section,keywords,abstract,lead_paragraph
Draft Resolution for Use of U.S. Military in Syria,2013-09-01,multimedia,Interactive Feature,,['Law and Legislation'],President Obama drafted legislation that was sent to Congress to decide whether to authorize a limited military strike against the Syrian government for a chemical weapons attack.,President Obama drafted legislation that was sent to Congress to decide whether to authorize a limited military strike against the Syrian government for a chemical weapons attack.
Advocate’s Post Gave de Blasio Platform for Political Ambitions,2013-09-01,article,News,,"['Elections, Mayors', 'Citizens United v Federal Election Commission (Supreme Court Decision)', 'Campaign Finance', 'Series']",A review of Bill deBlasio’s years as public advocate shows that the office often served to elevate his political ambitions and profile in anticipation of a run for mayor.,"The anxious executive cornered Bill de Blasio in an elevator, with an urgent plea. "
García Widens Distance From a Rued Remark,2013-09-01,article,News,,['Golf'],"Sergio García, no longer heckled over his “fried chicken” reference to Tiger Woods, led the Deutsche Bank Championship after two rounds.","NORTON, Mass. — Gone are the shouts of “Fried chicken!” that pierced the quiet during Sergio García’s swing at the United States Open, in response to García’s unfunny joke that he would have his adversary, Tiger Woods, over to dinner and serve him, of all dishes, that one. García played his second round of the Deutsche Bank Championship in relative peace and quiet Saturday, the birdsong broken only by applause for his good shots, of which there were many, or cries of “Keep it rolling, Sergio!”"
Penn State Unveils a New Quarterback and Closes the Door on Syracuse,2013-09-01,article,News,,['Football (College)'],"Led by the freshman quarterback Christian Hackenberg, the Nittany Lions outlasted Syracuse in a matchup of two rebuilding programs.","EAST RUTHERFORD, N.J. — The Battle in the Apple, as organizers labeled the matchup between Syracuse and Penn State at MetLife Stadium on Saturday, started more like an arm wrestling match between two opponents sizing each other up cautiously."
Obama’s Decision to Seek Approval First Lengthens Suspense of Attack,2013-09-01,article,News,,"['Middle East and North Africa Unrest (2010- )', 'United States Defense and Military Forces', 'Biological and Chemical Warfare', 'United States International Relations']","At the end of a nerve-racking day, Syrians were shocked by the president’s speech. Also relieved, bewildered, confused, triumphant and angry.","BEIRUT, Lebanon — At the end of a nerve-racking day in the cross hairs of American gunships, Syrians gathered around televisions to watch President Obama announce the start of an expected American missile strike."
Fire Kills 4 in Upstate New York,2013-09-01,article,News,,['Fires and Firefighters'],"Some witnesses said there were children in the home, located in the town of Elmira, but officials have not released the identities of the victims.","At least four people were killed when a fire gutted a house in upstate New York on Friday evening, officials said."
Democrats Go for a Senate Gain as G.O.P. Rivals Vie in Georgia,2013-09-01,article,News,,"['United States Politics and Government', 'Elections, Senate']","National Democrats see a slim but tantalizing chance to steal a Republican Senate seat as Republicans compete to replace Saxby Chambliss, who is retiring.","WINDER, Ga. — The flock of Republican candidates vying to succeed retiring Senator Saxby Chambliss gathered last weekend in this small-town birthplace of Georgia’s legendary statesman, Senator Richard Russell, to appeal to the restive electorate."
"For Older Players, Anticipation Can Replace Speed",2013-09-01,article,News,,"['Tennis', 'United States Open (Tennis)']","The 30-somethings are on a good run in tennis, but what they almost certainly aren’t doing is running as fast as they used to.","This United States Open began with dozens of players in the singles draws who have seen their 30th birthday, including the No. 1-ranked woman, Serena Williams. With so many veterans still playing top-shelf tennis, there’s nothing odd about seeing one in a final of a tournament. The Wimbledon tuneup in Halle, Germany, even had two: Roger Federer and Mikhail Youzhny. "
Seeking Solace on the Field,2013-09-01,article,News,,"['Football', 'Sports Injuries', 'Interscholastic Athletics', 'Deaths (Fatalities)']",A family and a high school football team chose to turn to the sport that united them as a way of healing after a player died from head trauma.,"RIVERSIDE, Calif. — As Arlington High School’s football players lined up along the goal line, awaiting the kickoff to their season Friday night, their eyes turned toward the home stands. A few of the players pointed in that direction, where a rainbow, standing against the darkening sky, stretched from one end of the bleachers to the other."
Kerry Seeks to Reassure Syrian Opposition Leader,2013-09-01,article,News,,"['Middle East and North Africa Unrest (2010- )', 'United States Defense and Military Forces', 'United States International Relations', 'Biological and Chemical Warfare']",The secretary of state told Ahmed al-Jarba that the president was still determined to hold the Syrian government accountable for a chemical weapons attack.,WASHINGTON — Secretary of State John Kerry sought to assure the leader of the Syrian opposition on Saturday that President Obama was still determined to hold the Syrian government accountable for a chemical weapons attack near Damascus.
Facing Fire Over Challenge to Louisiana’s Oil Industry,2013-09-01,article,News,,"['Oil (Petroleum) and Gasoline', 'Suits and Litigation (Civil)', 'Hurricane Katrina (2005)', 'Floods', 'Wetlands', 'Natural Gas']","A panel created after Hurricane Katrina as an apolitical force for flood control filed a lawsuit against nearly 100 oil and gas companies, arguing that they neglected to fix damage to wetlands.","BATON ROUGE, La. — State Senator Gerald Long of Louisiana calls it “kind of a gentlemen’s agreement.”"
Stephens and Williams to Face Off as Their Nascent Rivalry Heats Up,2013-09-01,article,News,,"['Tennis', 'United States Open (Tennis)']","Serena Williams and Sloane Stephens, the two top American women, once friends, have become rivals as they head to a showdown at the United States Open.",Serena Williams may have to settle for revenge being served eight months later.
Lottery Numbers,2013-09-01,article,List,,['Lotteries'],"Lottery numbers for Aug. 31 for New York, New Jersey and Connecticut.","Aug. 31, 2013"
