headline,date,doc_type,material_type,section,keywords,abstract,lead_paragraph
The Eagles of Reelfoot Lake,2019-03-01,article,Op-Ed,,"['Eagles (Birds)', 'Endangered and Extinct Species', 'your-feed-photojournalism']",Why do these birds mean so much to us? Maybe because we almost lost them.,"TIPTONVILLE, Tenn. — In the far northwest corner of Tennessee, just this side of the Mississippi River, lies a landscape like no other. Reelfoot Lake is less a lake than a system of bayous, creeks and swampland connected by areas of shallow open water. It was created in the winter of 1811-1812 when a series of powerful earthquakes and aftershocks caused 15,000 acres of cypress forest to sink. The waters of the Mississippi River rushed into the depression. To eyewitnesses, the river seemed to be flowing backward."
"Why Allen Weisselberg, Trump’s Money Man, Could Face Scrutiny Next",2019-03-01,article,News,,"['Campaign Finance', 'ADULTERY', 'Presidential Election of 2016', 'United States Politics and Government']",Mr. Weisselberg has referred to himself as President Trump’s “eyes and ears” at the Trump Organization. He was incriminated by Michael Cohen in testimony on Wednesday.,[What you need to know to start the day: Get New York Today in your inbox.]
"Russia Blocks Venezuela Measure at U.N., Calling It a U.S. Ploy for Regime Change",2019-03-01,article,News,,"['Humanitarian Aid', 'International Relations', 'United States International Relations']","In a Cold War-style dispute at the United Nations, Russia sided with President Nicolás Maduro of Venezuela and against an American resolution calling for aid distribution and new elections.","Calling it a “mere pretext” for sinister intent, Russia vetoed an American resolution in the United Nations Security Council on Thursday for new elections and unhindered distribution of humanitarian aid in Venezuela."
Gap Plans to Spin Off Old Navy After a Dismal Year,2019-03-01,article,News,,"['Fashion and Apparel', 'Shopping and Retail', 'Company Reports']","Old Navy will become its own public company, while Gap will form another public company made up of its namesake label and its other brands like Banana Republic.","Gap, one of the largest operators of mall stores in the United States, said on Thursday that it planned to spin off Old Navy into a separate public company, drawing a line between the family-friendly apparel chain and its classic, more expensive brands."
Netanyahu Responds to Effort to Indict Him: What He Said and What He Meant,2019-03-01,article,News Analysis,,"['Politics and Government', 'Bribery and Kickbacks']","Prime Minister Benjamin Netanyahu delivered an emotional response to the decision to indict him, with a not-too-subtle subtext.","JERUSALEM — By turns angry and choked up, sneering and defiant, Prime Minister Benjamin Netanyahu delivered a lengthy, emotional response Thursday night to the decision by Israel’s attorney general to indict him on bribery and other corruption charges."
Morality and Michael Cohen,2019-03-01,article,Op-Ed,,"['Ethics (Personal)', 'United States Politics and Government']",Wednesday’s testimony and the crisis of American conscience.,"I often wonder who didn’t love Donald Trump. I often wonder who left an affection void that he has tried to fill by winning attention, which is not the same thing. He’s turned his life into a marketing strategy. As Michael Cohen said in his testimony on Wednesday, even the presidential campaign was a marketing campaign to build the Trump brand."
A Clash at the Cohen Hearing Reveals the Left’s Racial Divide,2019-03-01,article,News,,"['Discrimination', 'Women and Girls', 'Blacks', 'Black People', 'United States Politics and Government']",A clash over racism between a freshman Democrat and a conservative Republican revealed as much about the divide within the Democratic Party as the chasm between Democrats and Republicans over race.,"WASHINGTON — As the child of former sharecroppers, Representative Elijah E. Cummings of Maryland is no stranger to blunt conversations about race. But when a fiery freshman Democrat practically accused a conservative Republican of racism on Wednesday, the uneasy truce that Mr. Cummings brokered put him in the center of a raw debate over race and gender in a changing House."
"Mongols Biker Club Can Keep Its Logo, Judge Rules",2019-03-01,article,News,,"['Decisions and Verdicts', 'Logos', 'Racketeering and Racketeers']",A federal jury said last month that the motorcycle gang must forfeit the rights to its trademarked logo. But a judge said it would be unconstitutional.,"SANTA ANA, Calif. — Nearly two months after a federal jury decided that a notorious motorcycle club must forfeit the rights to its trademarked emblem, a judge on Thursday nullified the verdict, finding that seizure of the intellectual property was unconstitutional."
"Mexico Approves 60,000-Strong National Guard. Critics Call It More of the Same.",2019-03-01,article,News,,"['Police', 'Defense and Military Forces', 'Law and Legislation', 'Organized Crime']",Congress gave the go-ahead for the creation of a new security force to be overseen by civilian authorities. The move awaits state approvals.,"MEXICO CITY — Mexico’s Congress on Thursday approved the creation of a 60,000-member National Guard to tackle the nation’s public security crisis, a force that President Andrés Manuel López Obrador has made a cornerstone of his plan to confront organized crime and curb soaring violence."
How Much Watching Time Do You Have This Weekend?,2019-03-01,article,News,,['Television'],"Our TV critic Margaret Lyons has great suggestions on what to watch, whether you have a half-hour or several.","No matter how much free time you have this weekend, we have TV recommendations for you. Come back every Friday for new suggestions on what to watch."
Quotation of the Day: Sleaze Intrudes Among the Palm Trees,2019-03-01,article,Quote,,[],"Quotation of the Day for Friday, March 1, 2019.","“You can’t say, ‘What happens in Florida stays in Florida,’ because it never does.”"
"For Trump, It’s Just ‘Trust,’ No ‘Verify’",2019-03-01,article,News,,"['Russian Interference in 2016 US Elections and Ties to Trump Associates', 'United States International Relations']","In two years in the Oval Office, President Trump has demonstrated an unmistakable pattern: He tends to believe what strongmen say.","WASHINGTON — Ronald Reagan famously vowed to “trust, but verify” when confronting strongmen from places like the Soviet Union."
A Strongman Denies It? Often Good Enough for Trump,2019-03-01,multimedia,Video,,"['United States Politics and Government', 'United States International Relations']","While sometimes incredulous toward traditional U.S. allies, President Trump often appears to take the claims of autocratic leaders at face value.","While sometimes incredulous toward traditional U.S. allies, President Trump often appears to take the claims of autocratic leaders at face value."
"‘Star Trek: Discovery’ Season 2, Episode 7: A Young Spock",2019-03-01,article,News,,['Television'],"In the latest episode of “Star Trek: Discovery,” we finally get some answers for what Spock has been up to this whole time.","‘Star Trek: Discovery’ Season 2, Episode 7: “Light and Shadows”"
"Review: ‘Superhero,’ a Comic-Book Musical Too Flimsy to Fly",2019-03-01,article,Review,,['Theater'],Look! Up on the stage! It’s a show with good intentions (and a “Dear Evan Hansen”-like setup) that can’t rise above its cartoonish plot.,"Dear Simon Branson: Today is going to be a good day, and here’s why."
Boardwalk’s Locale,2019-03-01,article,News,,['Crossword Puzzles'],Zhouqin Burnikel offers us a very satisfying tug of war.,"FRIDAY PUZZLE — This puzzle by Zhouqin Burnikel was a delightful battle between solver and constructor, backed up by the editors."
"Corrections: March 1, 2019",2019-03-01,article,Correction,,[],"Corrections appearing in print on Friday, March 1, 2019.",NATIONAL
"Disclosing Subpoena for Testimony, Chelsea Manning Vows to Fight",2019-03-01,article,News,,"['United States Politics and Government', 'Courts-Martial', 'Classified Information and State Secrets']","Prosecutors are seeking her testimony in a matter that may relate to the still sealed charges against Julian Assange, the WikiLeaks leader.","WASHINGTON — Chelsea Manning, the former Army intelligence analyst convicted in 2013 of leaking archives of secret military and diplomatic documents to WikiLeaks, revealed in an interview that she had been subpoenaed to testify before a grand jury — and vowed to fight it."
"North Korea, Jared Kushner, Oceans: Your Friday Briefing",2019-03-01,article,briefing,,[],Let us help you start your day.,(Want to get this briefing by email? Here’s the sign-up.)
The Shows That Made HBO a Cultural Force,2019-03-01,article,News,,['Television'],"From “Sex and the City” to “Game of Thrones,” HBO served up several hits under its chief executive, Richard Plepler, who recently stepped down.",A New Jersey mafia boss under strain who finds himself in a psychiatrist’s office. A 30-something writer taking on the big city with her friends. A “Mother of Dragons” locked in an epic battle to sit on an iron throne.
The Tallest Man I Ever Loved,2019-03-01,article,News,,"['Love (Emotion)', 'Dating and Relationships', 'Homosexuality and Bisexuality', 'ACTORS AND ACTRESSES', 'Theater']","When manifesting a boyfriend, maybe don't start with the physical — or date the competition.","My therapist believed that if you wanted to manifest something in your life, you needed to focus your energy on that thing. I decided to apply this to my search for love, so I made a list only a 22-year-old could make. I wanted the man of my dreams to be:"
