headline,date,doc_type,material_type,section,keywords,abstract,lead_paragraph
Joshua Wong and Alex Chow: The People of Hong Kong Will Not Be Cowed by China,2019-09-01,article,Op-Ed,,"['Hong Kong Protests (2019)', 'Politics and Government', 'Secession and Independence Movements', 'Human Rights and Human Rights Violations', 'Extradition', 'United States International Relations']",You can arrest us. But more protesters will keep coming out.,"HONG KONG — “If we burn, you burn with us.” A famous line in the movie “The Hunger Games: Mockingjay” has been given a new life in Hong Kong’s summer-long protests: It has come to represent the spirit unleashed by hundreds of thousands of protesters. As many commentators have pointed out, the massive, leaderless resistance movement here is a critical front-line battle against the authoritarian Chinese Communist Party in Beijing. A dictatorial party facing domestic and global pressures — especially from the ongoing trade negotiations with the United States — the C.C.P. is getting impatient, apparently. On Friday, it targeted leading activists and politicians in Hong Kong with a round of arrests, possibly signaling that a broader crackdown may be around the corner."
53 People Died in Mass Shootings in August Alone in the U.S.,2019-09-01,article,News,,"['El Paso, Tex, Shooting (2019)', 'Dayton, Ohio, Shooting (2019)', 'School Shootings and Armed Attacks', 'Mass Shootings', 'Gilroy, Calif, Shooting (2019)', 'Virginia Beach, Va, Shooting (2019)', 'Gun Control']","So far this year, there have been at least 38 shootings with three or more fatalities, data shows.",The month of August ended as it began: with a shooting rampage and a significant death toll. 
"A Very German Idea of Freedom: Nude Ping-Pong, Nude Sledding, Nude Just About Anything",2019-09-01,article,News,,['Nudism and Nudity'],"Germany’s nudist movement, unique in the world, has survived Hitler, Communism and Instagram. It has everything to do with wanting to be free, say nudists, and zero to do with sex.",BERLIN — The first time Michael Adamski saw his mother-in-law naked it was awkward.
"Diana Willkie, Frank Hamilton",2019-09-01,article,News,,['Weddings and Engagements'],The couple met at a bar in 2015 and soon began dating.,"Diana Fendig Willkie and Frank Watrous Hamilton IV are to be married Sept. 1. The Rev. Lucia P. Ballantine, an Episcopal priest and a cousin of the bride, is to officiate at the bride’s parents’ home in Aspen, Colo."
"Edna Ishayik, Seth London",2019-09-01,article,News,,['Weddings and Engagements'],"The couple met in 2013 at a friend’s wedding in Lovettsville, Va.","Edna Joyce Ishayik and Seth Adam London are to be married Sept. 1 at the Castle Hill Inn in Newport, R.I. Rabbi Rachel M. Isaacs is to officiate."
"Katharine Anawalt, Harrison Gish",2019-09-01,article,News,,['Weddings and Engagements'],"The bride and groom both graduated from Oberlin College, and met through a mutual college friend.","Katharine de Lancey Anawalt and Harrison Piecuch Gish are to be married Sept. 1 at Houston Hall, an events space in New York. David O’Grady, a friend of the couple who became a Universal Life Minister for the event, is to officiate."
"Melanie Goldstein, Daniel Berenson",2019-09-01,article,News,,['Weddings and Engagements'],"The couple met at a Yom Kippur breakfast at Stanford, when both were studying at the university.","Melanie Kramer Goldstein and Daniel Fischbein Berenson are to be married Sept. 1 at Villa Montalvo, an events space in Saratoga, Calif. Rabbi Jessica Oleon Kirschner, the executive director of the Hillel organization at Stanford, where the couple met at a Yom Kippur breakfast, is to officiate."
"Seanna Irvin-Anderson, Andrew Granchelli",2019-09-01,article,News,,['Weddings and Engagements'],The couple met in December 2014 while both were strolling on the beach in the Dominican Republic during a music festival.,"Seanna Sharae Irvin-Anderson and Andrew William Granchelli were married Aug. 30 at Hope Glen Farm in Cottage Grove, Minn. Alexander Mazer, a friend of the couple who became a Universal Life minister for the event, officiated."
How Much Will the Trade War Cost You by the End of the Year?,2019-09-01,multimedia,Interactive Feature,,"['International Trade and World Market', 'Customs (Tariff)', 'Prices (Fares, Fees and Rates)', 'Washing Machines and Dryers', 'United States Politics and Government', 'United States International Relations']","About $460 for the average family, according to a new economic analysis.","About $460 for the average family, according to a new economic analysis."
"As Trump Escalates Trade War, U.S. and China Move Further Apart With No End in Sight",2019-09-01,article,News,,"['United States International Relations', 'International Trade and World Market', 'Customs (Tariff)', 'United States Economy', 'United States Politics and Government']",The standoff is upending the relationship between the world’s two largest economies.,"WASHINGTON — President Trump’s trade war with China entered new territory on Sunday as his next round of tariffs took effect, changing the rules of trade in ways that have no recent historic precedent and driving the world’s two largest economies further apart."
"Natalie Heer, Jeremy Cushman",2019-09-01,article,News,,['Weddings and Engagements'],"The couple met at Harvard, where both were members of the Gilbert & Sullivan Players",Natalie Claire Heer and Jeremy Stein Cushman are to be married Sept. 1. Rabbi Aliza G. Berger is to officiate at the Calhoun Beach Club in Minneapolis.
"Julia Winn, Thomas Buckley",2019-09-01,article,News,,['Weddings and Engagements'],"The couple met at Harvard, from which both graduated.","Julia Claire Winn and Thomas William Buckley are to be married Sept. 1. T. Ryan Schoen, a friend of the couple who was ordained through American Marriage Ministries in order to preside at this event, is to officiate at the Pearl, an events space in San Francisco."
"Laura Sirico, MJ Schanne",2019-09-01,article,News,,['Weddings and Engagements'],"They met at camp where he sang “Little Bunny Foo-Foo” 100 times a day, and moonlighted as the camp superhero Mr. Respectacular.","Laura Johanna Sirico and Michael Jack Schanne are to be married Sept. 1 in a self-uniting ceremony at the John James Audubon Center at Mill Grove in Audubon, Pa. The ceremony is to be led by Kathleen C. Sirico, the bride’s sister."
"Natalie Reid, Ryan Lecznar",2019-09-01,article,News,,['Weddings and Engagements'],"She swiped left both times she saw his profile on a dating site, but then mutual friends convinced her to give him a chance.","Natalie Madison Reid and Ryan Andrew Lecznar are to be married Sept. 1 at the West Shore Cafe, an events space in Homewood, Calif. Joshua Janiak, a college friend of the couple who was ordained through American Marriage Ministries, officiated."
