headline,date,doc_type,material_type,section,keywords,abstract,lead_paragraph
An Unusual Feat in Congress: Student Loan Bill Breezes On,2013-08-01,article,News,,"['Student Loans', 'Interest Rates', 'Law and Legislation', 'United States Politics and Government', 'Colleges and Universities']",Democrats and Republicans eagerly voted to reset and cap student loan interest rates after a failure last month forced rates to double.,WASHINGTON — Something pretty rare happened in Congress on Wednesday: it approved and sent to President Obama a major piece of public policy by an overwhelming bipartisan margin.
Head of Syrian Opposition Rejects Talks With Assad,2013-08-01,article,News,,"['International Relations', 'Middle East and North Africa Unrest (2010- )']","Ahmad al-Jarba, president of the Syrian National Coalition, hardened his position and also said talks must be put off until the rebels made military gains.","BEIRUT, Lebanon — The head of Syria’s main exile opposition group added new conditions on Wednesday to the start of any negotiations aimed at ending the country’s civil war, further decreasing prospects that an internationally backed peace plan would progress anytime soon."
"Under Scrutiny, Goldman Offers to Speed Metal Delivery",2013-08-01,article,News,,"['Commodities', 'Aluminum', 'Prices (Fares, Fees and Rates)', 'Storage', 'Regulation and Deregulation of Industry', 'Banking and Financial Institutions', 'Futures and Options Trading']",The bank said it would offer immediate access after regulators began to investigate how delays at commodities warehouses had influenced prices.,Goldman Sachs has offered to speed up delivery of aluminum stored in warehouses that it controls as federal authorities examine how delays at the facilities have driven up the price of the metal.
New Rule at N.F.L.’s Camps: No Tackling. It’s Just Practice.,2013-08-01,article,News,,"['Football', 'Sports Injuries', 'Concussions']","With salaries and concerns about injuries soaring, N.F.L. teams are increasingly limiting contact during training camps, which were once grueling ordeals under a merciless sun.","Pro football summer training camps were once filled with two practices a day, grueling sessions that featured helmeted players clashing gladiator-style under a merciless sun."
New Tools for Keeping the Lights On,2013-08-01,article,News,,"['Power Outages and Blackouts', 'Electric Light and Power', 'States (US)']","A decade after a record blackout crippled the Northeast, engineers are installing new devices that could stop future breakdowns.","RENSSELAER, N.Y. — After the lights went out for 50 million people from the Northeast to the Midwest on Aug. 14, 2003, investigators found readings from two obscure instruments that would have given them an hour’s warning — plenty of time to solve the problem if the devices had been wired to provide a stream of critical data."
Shirtless Goes the City,2013-08-01,article,News,,"['Fashion and Apparel', 'Men and Boys', 'Customs, Etiquette and Manners']","Is a heat wave enough of an excuse for a man to leave his shirt at home? For some New Yorkers, the answer was yes.","California strikes. Manhattan is becoming Malibu. Once, in the long-gone “Mad Men” days, it was considered de rigueur for New Yorkers to wear a hat and gloves in town. Now dress codes have devolved to the point where folks wear fleecy slippers on the subway, flip-flops to the ballet, running tights for every occasion, repurposed pajamas as daywear and, recently, very little at all."
Browsing,2013-08-01,article,News,,"['Shopping and Retail', 'Fashion and Apparel', 'Shoes and Boots']",Crop tops; handbags that carry the essentials in style; and more.,The Middle Ground
Judge Rejects Fed’s Cap on Debit Card Fees,2013-08-01,article,News,,"['Banking and Financial Institutions', 'Debit Cards', 'Law and Legislation', 'Prices (Fares, Fees and Rates)']",The billions of dollars that banks earn when consumers swipe their debit cards are under threat after a federal court ruling.,The billions of dollars that banks earn when consumers swipe their debit cards are under threat after a federal court ruling on Wednesday. The question is whether consumers will see any savings.
"Despite West’s Efforts, Afghan Youths Cling to Traditional Ways",2013-08-01,article,News,,"['Youth', ""Women's Rights"", 'Demonstrations, Protests, and Riots']","While young Afghans have cultivated Western trappings like cellphones and jeans, they have resisted the West’s efforts to instill values like expanded rights for women.","KABUL, Afghanistan — Walk through the streets of Kabul and evidence of the West’s decade-long war literally clings to the Afghan youth: the American labels emblazoned on their shirts and jeans, the stylish sunglasses they wear, the cellphones they clutch to update their lives on Twitter and Facebook."
Mistrial in Mississippi Case Over Mayoral Election,2013-08-01,article,News,,"['Elections, Mayors', 'Courts and the Judiciary', 'Blacks', 'Black People', 'Race and Ethnicity']","For now, the incumbent, Johnny L. DuPree, remains in office in Hattiesburg. An initial 9-to-3 verdict for his challenger became, after a poll by the judge, an 8-to-4 no-decision.","Two months ago, the voters of Hattiesburg, Miss., tried to pick a mayor, but the outcome became the subject of a court battle that resulted in a mistrial on Tuesday."
"Embracing the West, Except Its Ideals",2013-08-01,multimedia,Slideshow,,['Youth'],"Despite being exposed to Western culture for the last decade, a new generation of Afghans is clinging to their society’s conservative ways.","Despite being exposed to Western culture for the last decade, a new generation of Afghans is clinging to their society’s conservative ways."
