headline,date,doc_type,material_type,section,keywords,abstract,lead_paragraph
Bowl Games to Watch on New Year’s Day,2014-01-01,article,News,,"['Rose Bowl (Football Game)', 'Football (College)', 'Fiesta Bowl']","Other than the national championship game, the Rose Bowl offers the most anticipated matchup of the season, but the Capital One Bowl and Fiesta Bowl should also be intriguing.",ROSE BOWL
"New Year’s Eve, Stuck in a Church in Bangui",2014-01-01,article,News,,[],The building has become a small island of refuge in the Central African Republic’s rapidly unraveling capital.,"In the brutally violent week before Christmas, dozens of families poured into a church in Bangui in the Central African Republic, my colleague Carlotta Gall reported last week. Run by Archbishop Dieudonné Nzapalainga, the building had become a small island of refuge in the Central African Republic’s rapidly unraveling capital."
"House Prices Rise Again, but the Pace Could Slow",2014-01-01,article,News,,"['Real Estate and Housing (Residential)', 'United States Economy', 'Economic Conditions and Trends']","Home prices have risen steadily since the spring of 2012, but are now slowing a bit. The Fed’s coming taper, and how it affects mortgage rates, may contribute to that, economists say.",WASHINGTON — It was a great year for the stock market. And it was also a pretty good year for many people’s biggest investment: their homes.
Jaywalking Rules and Habits: L.A. vs. New York,2014-01-01,article,Letter,,['Jaywalking'],Readers react to an article about a crackdown on pedestrians in Los Angeles.,To the Editor:
Drawn Back Into Iraq,2014-01-01,article,Letter,,"['United States Defense and Military Forces', 'Iraq War (2003-11)']",Stuart Gottlieb of Columbia University criticizes President Obama’s decisions on Iraq.,To the Editor:
Egypt Says 3 Journalists Will Be Held 15 More Days,2014-01-01,article,News,,"['News and News Media', 'Terrorism', 'Freedom of the Press']",The journalists from Al Jazeera English face charges that include belonging to a terrorist group and harming Egypt’s reputation abroad.,"CAIRO — Egyptian prosecutors on Tuesday ordered three detained journalists from the news channel Al Jazeera English to be held in custody for 15 more days, on charges that include belonging to a terrorist group and harming the country’s reputation abroad."
Killing With Kindness,2014-01-01,article,News,,"['Land Use Policies', 'Invasive Species', 'Flowers and Plants', 'Gardens and Gardening']","On Oahu, one man is clearing the way for native plants and animals to thrive.","WAIKANE, Hawaii — On days he can round up at least one volunteer to help him in his mission to restore native species to the forest, Paul Zweng commutes in an all-wheel-drive pickup from the home he shares with his wife and children in suburban Honolulu. Hugging the coast north toward the striking mountain terrain on the windward side of Oahu, he stops to pick up Sam or Charlotte or Jim. The regulars. "
Spiders That Went to Design School,2014-01-01,article,News,,['Wallpaper'],John Derian turns natural motifs into wallpaper for Studio Printworks.,"John Derian, who sells antique furnishings and curios in his East Village shops, got his start with decoupage. He decorated gridded glass panels with drawings of sea plants or parrots and hung them as murals. Now, thanks to a new line of wallpapers, those images will adhere directly to the wall."
"Hello, Here’s Your Closet",2014-01-01,multimedia,Slideshow,,['Interior Design and Furnishings'],Good things came to a lawyer who waited — and waited — to renovate his apartment.,Good things came to a lawyer who waited — and waited — to renovate his apartment.
Love in the Wings,2014-01-01,article,News,,['Interior Design and Furnishings'],Good things came to a lawyer who waited — and waited — to renovate his apartment.,"On the theory that if you build it, whomever you’re waiting for will show up, Jay Dubiner decided to renovate his apartment. "
Evaluating Teachers,2014-01-01,article,Letter,,"['Teachers and School Employees', 'Education (K-12)', 'Principals (School)', 'Performance Evaluations (Labor)']",A former principal discusses a new evaluation system in New York City.,To the Editor:
Hawaiian Roots,2014-01-01,multimedia,Video,,"['Invasive Species', 'Forests and Forestry', 'Flowers and Plants']","Armed with hatchets and herbicides, Paul Zweng and his volunteers thin a forest of invasive trees one section at a time. Their mission: to return the land to its natural state.","Armed with hatchets and herbicides, Paul Zweng and his volunteers thin a forest of invasive trees one section at a time. Their mission: to return the land to its natural state."
Does the Garage Interior Matter to Home Buyers?,2014-01-01,article,Question,,"['Storage', 'Real Estate and Housing (Residential)']",It needs to look organized and clean.,Q. Does it matter how the interior of my garage looks when it’s time to sell?
Making Way for the Real Hawaii,2014-01-01,multimedia,Slideshow,,"['Invasive Species', 'Flowers and Plants', 'Forests and Forestry']",One man’s efforts would restore a part of Oahu to the days before invasive plants and animals altered the land.,One man’s efforts would restore a part of Oahu to the days before invasive plants and animals altered the land.
Regulating Supplements,2014-01-01,article,Letter,,"['Dietary Supplements and Herbal Remedies', 'Regulation and Deregulation of Industry']",The American Herbal Products Association responds to an Op-Ed essay questioning the safety of supplements.,To the Editor:
The Obamacare We Deserve,2014-01-01,article,Op-Ed,,"['Health Insurance and Managed Care', 'Patient Protection and Affordable Care Act (2010)', 'States (US)', 'Medicare', 'Medicaid', 'United States Politics and Government']","Now that Obamacare has finally arrived, liberals can stop defending its flaws and argue instead for universal health care.","TODAY marks the beginning of health care coverage under the Affordable Care Act’s new insurance exchanges, for which two million Americans have signed up. Now that the individual mandate is officially here, let me begin with an admission: Obamacare is awful."
"Anxious Youth, Then and Now",2014-01-01,article,Op-Ed,,"['Youth', 'Recession and Depression', 'Marriages', 'Teenagers and Adolescence', 'New Year']","Today’s millennials face many of the same concerns and challenges of the late 19th century, when the booms and busts of the Industrial Age tore apart the accepted order.","FOR years now, we’ve heard the gripes by and about millennials, the offspring of the Great Recession, caught between childhood and adulthood. Their plight seems so very 21st century: the unstable careers, the confusion of technologies, the delayed romance, parenthood and maturity."
