headline,date,doc_type,material_type,section,keywords,abstract,lead_paragraph
"For Better Health, Try Fitness From the Inside Out",2022-04-01,article,News,,"['Content Type: Service', 'Anxiety and Stress', 'Meditation', 'Exercise']","A career in health journalism has taught me that when it comes to living well, it’s the inner workout that counts the most.","When I first started writing about health more than 20 years ago, my columns mostly focused on the physical body: A healthy diet, exercise and screening for disease were regular topics."
"Patrick Demarchelier, Fashion Photographer, Dies at 78",2022-04-01,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Magazines', 'Models (Professional)', 'Fashion and Apparel', 'Photography', 'Sexual Harassment']",He was famous for his portraits of supermodels and his close relationship with Princess Diana. His images are part of the fashion canon.,"Patrick Demarchelier, a photographer whose work helped define fashion and celebrity in the late 20th and early 21st centuries, died on Thursday. He was 78."
"‘The Bubble’ Review: Swabs, Camera, Action",2022-04-01,article,Review,,['Movies'],Judd Apatow’s new film is a comedy about actors trying to make a dinosaur movie during the pandemic that plays more like a documentary of actors trying to make a Covid comedy.,"“The safest place in the world right now is a film set,” an agent (Rob Delaney) tells his actress client Carol (Karen Gillan) to encourage her to join the quarantined production of “Cliff Beasts 6.” “The Bubble,” a new comedy from Judd Apatow, tells the story of how the stars of this apparently long-running dinosaur franchise spent their pandemic while doubling as a sort of documentary about how Apatow, who wrote the screenplay with Pam Brady, spent his."
This Might Help Clear Things Up,2022-04-01,article,News,,"['Crossword Puzzles', ""APRIL FOOL'S DAY""]",Evan Mahnken opens our solving weekend.,"FRIDAY PUZZLE — Constructors have this habit of trying to one-up each other when it comes to crossword derring-do and, frankly, I’m a fan. There was a time not too long ago when the constructor who could stack the most long entries on top of one another was a hero. This puzzle by Evan Mahnken, however, is on a whole different level. I’ve never seen anything like this one."
Variety: Marching Bands,2022-04-01,article,News,,"['Crossword Puzzles', 'Marching Bands']",Brendan Emmett Quigley drums up a challenging variety puzzle.,"MARCHING BANDS — This is always a fun puzzle to work on. The empty grid is a bit disconcerting to me — the alternating bands of gray and white have an optical-illusion effect and the lack of breaks between any of the words is intimidating. It’s hard to adjust to words running in four directions — across from right to left and up, as well as across from left to right and down. But as long as I get lucky with the across entries, or the beginnings of the bands, I find this variety grid more pleasant than frustrating."
E.P.A. Decides Against Limiting Perchlorate in Drinking Water,2022-04-01,article,News,,"['Global Warming', 'Greenhouse Gas Emissions', 'Perchlorate', 'Hazardous and Toxic Substances', 'Regulation and Deregulation of Industry', 'Thyroid Gland']","Drinking water for as many as 16 million Americans may be contaminated with perchlorate, a chemical that can harm the development of fetuses and children.","WASHINGTON — The Biden administration on Thursday said it would uphold a Trump-era decision and not impose limits in drinking water of perchlorate, a contaminant that has been linked to brain damage in infants."
Two Swimmers Take a Deep Breath Together,2022-04-01,article,News,,['Weddings and Engagements'],"Ian Slater and Michael McVicker became best friends after arriving at Brown University, where they were on the swim team. By their junior year, they were ready to dive into dating.","Michael Theron McVicker and Ian Poris Slater met on the campus of Brown University in 2008, when both were visiting as high school seniors on a swim team recruiting trip."
Picking Him Out From a Crowd,2022-04-01,article,News,,['Weddings and Engagements'],Eliza Giles knew that George Luo was “the one” after spotting him in a crowded high-school assembly 12 years ago.,"Elizabeth Giles first spotted George Luo on Jan. 19, 2010, during a crowded assembly at their high school, Cate School, in Carpinteria, Calif."
Before Love Came a Lot of Likes,2022-04-01,article,News,,['Weddings and Engagements'],"To show interest in Jayla Moody, a fellow undergraduate at his college, Jordan Marshall liked bunch of her Instagram photos. She then did the same.","Jayla Moody and Jordan Marshall’s love story might have started sooner if only they had spoken during the time that both attended Mercer University in Macon, Ga., where he was the captain of the football team, and she was the 2018 Homecoming Queen."
"From the Start, Their Relationship Was ‘Uglies’",2022-04-01,article,News,,['Weddings and Engagements'],"Jaclyn Tokarz met Dieter Seelig in 2015 at his bar, Plug Uglies, where she was a regular. But more than two years would pass before their romance took off.","When Dieter Demetrios Seelig and Jaclyn Michelle Tokarz first laid eyes on each other in 2015 at Plug Uglies, a bar he owns in Manhattan’s Gramercy Park neighborhood, both felt an immediate attraction."
