headline,date,doc_type,material_type,section,keywords,abstract,lead_paragraph
Review: ‘NOW.’ Uses Technology to Pair Dancers Thousands of Miles Apart,2016-02-01,article,Review,,['Dancing'],"Eight performed this Pat Catterson work at the Tisch School of the Arts at New York University — joined by nine dancers from around the world, via Skype.","If you have used Skype, you know the sound: a low-fi digitization of numbers being pressed on a touch-tone phone, followed by a burbly version of ringing. Even if you grew up before the Internet age, the sound is familiar enough, though if someone answers on the other end, and the connection is good, then not just the voice but also the video image of that person appears, wherever he or she might be in the world."
Report Describes Lawyers’ Advice on Moving Suspect Funds Into U.S.,2016-02-01,article,News,,"['Money Laundering', 'Legal Profession', 'Real Estate and Housing (Residential)']","The report is the result of an undercover investigation by Global Witness, a nonprofit group that has been pushing for stricter money-laundering rules.","With attention growing on the use of shell companies in high-end real estate, an activist organization released a report Sunday night that said several New York real estate lawyers had been caught on camera providing advice on how to move suspect money into the United States."
Unpublished Black History,2016-02-01,article,News,,[],"Revealing moments in black history, with unpublished photos from The New York Times’s archives. We’ll add images daily in February.","Images from black history, drawn from old negatives, have long been buried in the yellowed envelopes and crowded bins of the New York Times archives."
"Microcephaly, Spotlighted by Zika Virus, Has Long Afflicted and Mystified",2016-02-01,article,News,,"['Birth Defects', 'Zika Virus']","Each year, an estimated 25,000 babies in the United States receive a diagnosis of microcephaly, an abnormally small head, but prognoses are hard to predict.","The images pouring out of Brazil are haunting: struggling newborns with misshapen heads, cradled by mothers who desperately want to know whether their babies will ever walk or talk."
"Arnold Greenberg, Whose Manhattan Bookstore Fostered Wanderlust, Dies at 83",2016-02-01,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Book Trade and Publishing']","Mr. Greenberg left behind a law firm in favor of an independent bookstore, Complete Traveller, which he and his wife ran for more than three decades.","On the corner of 35th Street and Madison Avenue in Manhattan, in a small shop filled with shelves of books containing photographs and stories meant to entice readers to exotic locales, Arnold Greenberg found a place where his passions intersected."
"New Technologies Give Government Ample Means to Track Suspects, Study Finds",2016-02-01,article,News,,"['Surveillance of Citizens by Government', 'Computer Security', 'Privacy', 'Terrorism', 'United States Politics and Government']","Fears that encrypted communication will prevent agencies from tracking terrorists are overstated, according to a study that included current and former intelligence officials.",WASHINGTON — For more than two years the F.B.I. and intelligence agencies have warned that encrypted communications are creating a “going dark” crisis that will keep them from tracking terrorists and kidnappers.
Wine Here! A Football Bud Gets Competition,2016-02-01,article,News,,"['Football', 'Wines', 'Super Bowl']","Wine sales have been steadily growing faster than beer sales, especially around Super Bowl time.",Beer and football may go together like wine and cheese. But lately more and more people seem be favoring a Bordeaux over a Bud Light.
"Beer Ads That Portray Women as Empowered Consumers, Not Eye Candy",2016-02-01,article,News,,"['Beer', 'ADVERTISING AND MARKETING', 'Women and Girls', 'Millennial Generation']",Beer companies are rethinking the fraternity house imagery and sophomoric humor that long defined their advertising campaigns.,"For years, one of the main criticisms of beer advertising was that it tended to either objectify women or disregard them entirely. Marketers seemed to be too busy trying to appeal to the young male audience they knew would consistently drink beer by the case to worry about anyone else."
U.S. Broadens Fight Against ISIS With Attacks in Afghanistan,2016-02-01,article,News,,"['United States Defense and Military Forces', 'Terrorism']",The operations followed President Obama’s decision to expand the authority of American commanders to attack a new branch of the militant group in Afghanistan.,"WASHINGTON — The United States has carried out at least a dozen operations — including commando raids and airstrikes — in the past three weeks against militants in Afghanistan aligned with the Islamic State, expanding the Obama administration’s military campaign against the terrorist group beyond Iraq and Syria."
"Ethanol Mandate, a Boon to Iowa Alone, Faces Rising Resistance",2016-02-01,article,News,,"['Ethanol', 'Presidential Election of 2016', 'Bioenergy and Biofuels', 'Corn', 'Agriculture and Farming', 'Oil (Petroleum) and Gasoline', 'Crop Controls and Subsidies', 'United States Economy']","A 2005 mandate requiring oil refiners to blend ethanol into gasoline has been a boondoggle for the rest of the country, and could face a congressional vote on its future.","AMES, Iowa — Tim Recker has been growing corn in this state his whole life, and using his crops to make ethanol almost as long, at first by the jar for his trucks, now by the barrel for the nation. That is in large part because Congress in 2005 mandated that oil refiners blend ethanol into gasoline."
