headline,date,doc_type,material_type,section,keywords,abstract,lead_paragraph
No More Statutes of Limitations for Rape,2016-01-01,article,Op-Ed,,"['Sex Crimes', 'Statutes of Limitations', 'Law and Legislation', 'Editorials', 'States (US)']",Bill Cosby came close to escaping sexual assault charges. How many others do?,"THIS week, Bill Cosby was charged with three counts of aggravated indecent assault. The felony charges stemmed from an incident more than a decade ago, in which Andrea Constand says Mr. Cosby drugged and assaulted her in his home. Mr. Cosby says he intends to fight the charges, and no court has found him liable for sexual misconduct."
"Freddie Gray Complained of ‘Bad Back’ Before Arrest, Filing Says",2016-01-01,article,News,,"['Murders, Attempted Murders and Homicides', 'Police Brutality, Misconduct and Shootings']",A court document made public on Thursday suggests that defense lawyers will argue that Mr. Gray was already injured when he was loaded into a Baltimore police van.,"Freddie Gray, the 25-year-old black man who died of a broken neck after he was taken into police custody in Baltimore, complained of back trouble less than two weeks before that encounter, according to a document filed in court by defense lawyers for a police officer charged with murder in his death. "
"Justice in Taxes, Most Likely Short-Lived",2016-01-01,article,News Analysis,,"['Income Tax', 'High Net Worth Individuals', 'Federal Taxes (US)', 'United States Politics and Government', 'Capital Gains Tax']","The average tax rate for America’s top 400 income earners rose in 2013, but tax analysts said the tax structure still overwhelmingly favors the very well-off.",WASHINGTON — Is the party over for America’s super-rich?
No. 1 Clemson Advances to National Championship Game,2016-01-01,article,News,,"['Football (College)', 'Bowl Games', 'Orange Bowl (Football Game)']","Led by quarterback Deshaun Watson, the Tigers defeated fourth-seeded Oklahoma in the first College Football Playoff semifinal.","MIAMI GARDENS, Fla. — No. 1 Clemson rose to prominence this season largely behind its offense and quarterback Deshaun Watson, who finished third in the Heisman Trophy voting. The Orange Bowl between the Tigers and No. 4 Oklahoma featured the best two quarterbacks in college football — Watson and Baker Mayfield — but the Tigers’ defense essentially ended the comparison."
Prosecutors’ Secrecy Orders on Subpoenas Stir Constitutional Questions,2016-01-01,article,News,,"['Subpoenas', 'Witnesses', 'Freedom of Speech and Expression', 'First Amendment (US Constitution)', 'Drug Abuse and Traffic', 'Civil Rights and Liberties']",A federal judge has warned that prosecutors may be going too far when they ask witnesses to keep quiet about receiving a subpoena.,"Marked with an official seal, the federal subpoena arrived at the red brick offices of Zuccarello, Zerillo & Co., an accounting firm in Whitestone, Queens, in early March."
Ackman Sheds Some Valeant Shares,2016-01-01,article,News,,"['Hedge Funds', 'Drugs (Pharmaceuticals)']","William Ackman’s hedge fund said in a regulatory filing that its stake was now 8.5 percent, down from 9.9 percent, of the drug company that has been drawing fire on several fronts.","The hedge fund of William A. Ackman said on Thursday that it had sold some of its shares in Valeant Pharmaceuticals, the embattled drug company that Mr. Ackman earlier this year went to considerable lengths to defend."
Holiday Today New Year’s Day,2016-01-01,article,List,,[],"A look at how government services in New York, New Jersey and Connecticut will be affected.",NEW YORK
"Howard Davis Jr., Who Beat Grief to Win Boxing Gold, Dies at 59",2016-01-01,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Boxing', 'Olympic Games']","Davis, who was mourning his mother when he earned a gold medal at the 1976 Montreal Olympics, had more than 100 victories as an amateur but never won a world title.","Howard Davis Jr., a boxer from Long Island who in 1976 won an Olympic gold medal and also received the Val Barker Trophy, awarded to the most outstanding Olympic fighter, over his teammates and fellow gold medalists Michael and Leon Spinks and Sugar Ray Leonard, died on Wednesday at his home in Plantation, Fla. He was 59."
Flooding in Missouri Raises Vexing Questions ,2016-01-01,article,News,,"['Floods', 'Levees and Dams']",Can greater defenses be erected? Should homes be vaulted on stilts? Or is it time for some communities to pack up and leave?,"ARNOLD, Mo. — Linda Thorne peered out the back of her trailer near here on Monday night to find water sloshing up the wooden steps."
"As Brooklyn Park Stalls, Fingers Point at Religious Group",2016-01-01,article,News,,"['Area Planning and Renewal', 'Parks and Other Recreation Areas']","Depending on whom you ask, the fault for the state of Bridge Park 2 lies with flawed zoning, communication breakdowns or the Jehovah’s Witnesses, who promised to fix it but never did.","There is little to indicate that the misshapen expanse of concrete, bounded by a chain-link fence and at times dusted with crumbling pieces of the Brooklyn-Queens Expressway that runs alongside it is, in fact, a city park. A few thousand feet west is one of New York’s glossiest green esplanades, the sprawling Brooklyn Bridge Park, alongside the East River in the same Dumbo neighborhood. But here, the only clue that the lot is not a car park or a stalled construction site is the green parks department sign proclaiming Bridge Park 2."
