headline,date,doc_type,material_type,section,keywords,abstract,lead_paragraph
Nationals Player Tests Positive for Virus Before Opening Day,2021-04-01,article,News,,"['Baseball', 'Coronavirus Reopenings']","Because of contract-tracing rules, four other players and a staff member will be held out of Washington’s season opener against the Mets on Thursday.","WASHINGTON — In the last Major League Baseball game of 2020, the Los Angeles Dodgers were forced to remove third baseman Justin Turner from the final moments of the World Series after learning that he had tested positive for the coronavirus."
Investment Firm’s Collapse Put Unseen Risks on Full Display,2021-04-01,article,News,,"['Derivatives (Financial Instruments)', 'Regulation and Deregulation of Industry', 'Banking and Financial Institutions', 'Stocks and Bonds', 'Hedge Funds']",Archegos Capital Management’s use of swaps helped conceal its exposure to huge blocks of shares but showed once again how lightly regulated derivatives can shake the financial system.,"After the implosion of a little-known investment firm saddled banks around the world with billions of dollars in losses last week, one big question is being asked all over Wall Street: How did they let this happen?"
Clerk Who Questioned $20 Bill Watched Floyd Arrest With ‘Disbelief and Guilt’,2021-04-01,article,News,,"['Murders, Attempted Murders and Homicides', 'Police Brutality, Misconduct and Shootings', 'Black People', 'Blacks']","During the third day of Derek Chauvin’s trial, witness after witness agonized over whether they could have done anything to stop what would eventually happen to George Floyd.","MINNEAPOLIS — He chatted with a store clerk about playing football. He grabbed a banana off a shelf, flipped through a wad of cash, and hugged and exchanged pleasantries with a woman, laughing with his hand on her back."
"40 Years After Reagan, a Bet Big Government Can Get Something Done",2021-04-01,article,News Analysis,,"['Infrastructure (Public Works)', 'Presidents and Presidency (US)', 'United States Economy', 'United States Politics and Government', 'American Jobs Plan (2021)']","President Biden feels a burning sense of competition, his aides say, to prove that democratic capitalism can work.","WASHINGTON — It has been 40 years since President Ronald Reagan declared in his first inaugural address that “government is not the solution to our problems, government is the problem.”"
Investigators say a Trump aide took it upon himself to award hefty pandemic contracts.,2021-04-01,article,News,,"['internal-essential', 'Coronavirus (2019-nCoV)', 'Government Contracts and Procurement']","Peter Navarro, frustrated by the snail’s pace response to Covid-19, gave contracts worth hundreds of millions of dollars to politically connected or novice companies, according to a House inquiry.",The Trump administration was so slow to prepare for the coronavirus pandemic that a top aide to President Donald J. Trump took matters into his own hands.
"Jill Biden, in California, Lends Support to Farmworkers Seeking Vaccinations",2021-04-01,article,News,,"['Agriculture and Farming', 'Workplace Hazards and Violations', 'Coronavirus (2019-nCoV)', 'Vaccination and Immunization', 'Organized Labor', 'Citizenship and Naturalization', 'American Rescue Plan (2021)', 'United States Economy', 'United States Politics and Government']","The first lady was in Delano, Calif., to mark the birthday of César Chávez, the labor organizer who formed the country’s first successful farmworkers’ union.","DELANO, Calif. — Jill Biden, the first lady, traveled to California on Wednesday to visit a pop-up vaccination site for farmworkers who have lobbied for priority access to shots during the pandemic."
Man Is Charged With Smuggling in Crash That Killed 13 Migrants in California,2021-04-01,article,News,,"['Traffic Accidents and Safety', 'Illegal Immigration', 'Smuggling']",More than two dozen people were crowded into an S.U.V. that collided with a tractor-trailer near the border. Jose Cruz Noguez was accused of coordinating the smuggling attempt.,Federal authorities in California charged a man on Tuesday with coordinating a smuggling attempt that resulted in the deaths of 13 Mexican and Guatemalan citizens in one of the deadliest border-related crashes in decades.
"For many college students, pandemic life is disappointing. For others, it is a financial crisis.",2021-04-01,article,News,,"['internal-essential', 'Coronavirus (2019-nCoV)', 'Colleges and Universities', 'Poverty']","As campuses struggle under the shadow of the pandemic, many students report having trouble paying for food, housing and other basic needs.","Colleges around the country have been struggling under the shadow of the coronavirus, facing declining enrollment and major budget cuts. And students have mourned the loss of the traditional college experience, grappling with the disruption as campuses closed and many classes moved on line."
Child Care in Crisis: Can Biden’s Plan Save It?,2021-04-01,article,News,,"['Child Care', 'Labor and Jobs', 'Women and Girls', 'Coronavirus (2019-nCoV)', 'Small Business']","Child-care centers improvised during the pandemic, scrambling to stay open with razor-thin budgets and little government guidance. How long will the short-term solutions last?","In suburban Ohio, a decades-old child-care center that was thriving before the pandemic shut its doors for the final time in August."
"Quite a Job, You Have to Admit",2021-04-01,article,News,,['Crossword Puzzles'],Sam Ezersky wishes us all a happy April Fools’ Day.,"THURSDAY PUZZLE — It doesn’t happen every year, but once in a while the puzzle editors like to throw solvers a curveball on April 1. The most notable one — at least while I’ve been here — was in 2016, when Peter Gordon made a puzzle containing the message, “DUE TO BUDGET CUTS, THE NEW YORK TIMES CROSSWORD PUZZLE WILL END TOMORROW.” I thought that this was a hilarious April Fools’ joke that no one would possibly take seriously, so the Wordplay column for that day played along."
