headline,date,doc_type,material_type,section,keywords,abstract,lead_paragraph
Alabama Bulls Its Way Past Washington to Reach Title Game,2017-01-01,article,News,,"['Football (College)', 'College Football Playoff National Championship']","A two-touchdown, 180-yard performance from Bo Scarbrough, a relatively unheralded running back, left the Crimson Tide one win from a second straight championship.",ATLANTA — Alabama running back Bo Scarbrough sure is going to miss the Georgia Dome.
Istanbul Nightclub Attack,2017-01-01,multimedia,Slideshow,,"['Bars and Nightclubs', 'Terrorism']","A gunman opened fire inside a packed Istanbul nightclub shortly after midnight on New Year’s Day, killing dozens and wounding dozens more, Turkish officials said.","A gunman opened fire inside a packed Istanbul nightclub shortly after midnight on New Year’s Day, killing dozens and wounding dozens more, Turkish officials said."
"Allan Williams, First Manager of the Beatles, Dies at 86",2017-01-01,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Pop and Rock Music']","Mr. Williams booked a long series of shows in Germany in 1960, forcing the band to expand its repertoire and sharpen its stagecraft.","Allan Williams, the stocky Liverpool club owner and impresario who, as the first manager of the Beatles, played a crucial role in the group’s transformation from a mediocre local dance band to the hard-rocking ensemble that mesmerized the world, died on Friday in Liverpool. He was 86."
Quotation of the Day,2017-01-01,article,Quote,,[],"Quotation of the day for Sunday, January 1, 2017.",“I don’t think that Putin has a plan. I think that he is stunned by the number of bonus points that he has gotten.”
Recent Terrorist Attacks in Turkey,2017-01-01,multimedia,Interactive Feature,,['Terrorism'],A timeline of recent terrorist attacks in Turkey.,A timeline of recent terrorist attacks in Turkey.
Trump Promises a Revelation on Hacking,2017-01-01,article,News,,"['Cyberwarfare and Defense', 'United States Politics and Government', 'Presidential Election of 2016', 'Espionage and Intelligence Services']",Mr. Trump said that he knew “things that other people don’t know” and that the information would be revealed “on Tuesday or Wednesday.”,"WEST PALM BEACH, Fla. — President-elect Donald J. Trump, expressing lingering skepticism about intelligence assessments of Russian interference in the election, said on Saturday evening that he knew “things that other people don’t know” about the hacking, and that the information would be revealed “on Tuesday or Wednesday.”"
Clemson Pounds Ohio State to Set Up a Rematch With Alabama,2017-01-01,article,News,,"['Football (College)', 'College Football Playoff National Championship', 'Fiesta Bowl']","Seeking redemption for last season’s loss to Alabama in the national title game, the Tigers handed Urban Meyer his first shutout loss as a head coach.","GLENDALE, Ariz. — The goal, Clemson quarterback Deshaun Watson said last week, was to “flip the script,” and he wasted no time getting started on the revisions."
A Year That Can Never Be Taken From Cleveland,2017-01-01,article,News,,"['Basketball', 'NBA Championship', 'Baseball', 'World Series', 'Football']","With an N.B.A. title for the Cavaliers and the Indians falling just short in the World Series, forgive a city that once lost the Browns and LeBron James for feeling buoyant.","Any recap of a year in sports demands a great lede, like: “It was the best of times, it was the worst of times.”"
"Richie Lin, Neil Glaser",2017-01-01,article,News,,['Weddings and Engagements'],The couple met in 2000 through the dating website PlanetOut; they were married in Aspen.,"Richie Lin and Neil Lorne Glaser were married Dec. 30 at Ajax Holdings, a private equity firm in Aspen, Colo. Brooke Peterson, a retired judge of Pitkin County, Colo., officiated."
"Marissa Brown, Colin McGreal",2017-01-01,article,News,,['Weddings and Engagements'],The couple met during college but didn’t really connect until they went to their 25th reunion.,"Marissa Halewijn Brown, a daughter of Liet M. Brown and Dale M. Brown of Alexandria, Va., was married Dec. 28 to Colin Patrick McGreal, the son of Mary Ann McGreal and William K. McGreal of Coral Springs, Fla. Maureen Burke, a minister affiliated with the Universal Brotherhood Movement, officiated at the home of the bride’s parents."
