headline,date,doc_type,material_type,section,keywords,abstract,lead_paragraph
"Ignoring Linemen for the First Time, the Giants Focus on Pass Defense",2016-05-01,article,News,,"['Draft and Recruitment (Sports)', 'Football']","After years of focusing on the offensive and defensive lines, and spending the commensurate draft capital, the Giants used the 2016 draft to shore up their perimeter.","EAST RUTHERFORD, N.J. — After years of building a roster around their interior, focusing on the offensive and defensive lines, and spending the commensurate draft capital, the Giants used the 2016 draft to shore up their perimeter. And, primarily, to try to fix their faulty pass defense, which was worse than any other N.F.L. team’s last season. So, for the first time, the Giants did not select an offensive or defensive lineman in the draft."
Calm Conforto Keeps Collecting Hits as Mets Win Eighth Straight,2016-05-01,article,News,,['Baseball'],"Conforto continued to display his quiet talent, going 3 for 4 with three runs batted in, as the Mets topped the San Francisco Giants.","Compared with the rest of the Mets in the middle of the lineup, Michael Conforto is a physical anomaly. The fourth and fifth hitters, Yoenis Cespedes and Lucas Duda, are enormous, disruptive presences in the batter’s box. Pure power."
Jets May Be Judged on Christian Hackenberg and Players They Could Not Land,2016-05-01,article,News,,"['Football', 'Draft and Recruitment (Sports)']",The Jets fortified their defense and landed a Penn State quarterback in the second round after trying to trade up in the first.,"While the Jets will certainly profess happiness with their draft class, it seems pockmarked by their fruitless attempts to trade up for the top talents they truly preferred. "
Quotation of the Day,2016-05-01,article,Quote,,[],"Quotation of the day for Sunday, May 1, 2016.",“Are we going to get cancer from this? I’m terrified.”
"Daniel J. Berrigan, Defiant Priest Who Preached Pacifism, Dies at 94",2016-05-01,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Demonstrations, Protests and Riots', 'Priests', 'Poetry and Poets']","Father Berrigan, a Jesuit priest and poet, defiantly protested the Vietnam War and served time for his acts of civil disobedience.","The Rev. Daniel J. Berrigan, a Jesuit priest and poet whose defiant protests helped shape the tactics of opposition to the Vietnam War and landed him in prison, died on Saturday in the Bronx. He was 94."
Global Flavors and Asides to Obamas at White House Jazz Gala,2016-05-01,article,News,,"['Music', 'White House Building (Washington, DC)', 'Jazz']","An International Jazz Day concert at the White House, only the third of its kind, included performances by Aretha Franklin, Herbie Hancock and musicians from around the world.","WASHINGTON — A few songs into the fifth International Jazz Day All-Star Global Concert, on the South Lawn of the White House on Friday night, a pointedly multicultural coalition took the stage. Chucho Valdés on piano and Paquito D’Rivera on clarinet formed an eminent Cuban contingent. India had an ambassador in the tabla master Zakir Hussain. West Africa was represented by the Beninese guitarist Lionel Loueke, while Australia’s envoy was the trumpeter James Morrison. On bass was Ben Williams, from the Michigan Park neighborhood here."
"‘Outlander’ Season 2, Episode 4: A Man in the Dark",2016-05-01,article,Review,,['Television'],A harrowing scene is just one of many plots stuffed into this episode.,"What is the ultimate purpose of vengeance? To sate a hunger? To right a wrong? After it’s all done, does revenge feel worth it?"
"Goff and Wentz Topped the N.F.L. Draft, but Their Fantasy Outlook Is Dim",2016-05-01,article,News,,"['Football', 'Draft and Recruitment (Sports)', 'Fantasy Sports']",A dominant offensive line gives new Cowboys running back Ezekiel Elliott a great chance to be the best fantasy rookie.,"A few weeks ago, the start of the N.F.L. draft looked as if it would be filled with linemen and defensive players. Two huge trades and one Jerry Jones pick later, two quarterbacks and a running back had been taken within the first four picks. The first round alone featured eight players who are likely to be drafted this year by fantasy owners. Here is a look at the newest members of the N.F.L. who are relevant to fantasy drafts."
Readers’ Responses to a Woman’s Journey Living With Alzheimer’s,2016-05-01,article,News,,"[""Alzheimer's Disease""]","More than 100 readers commented on N.R. Kleinfield’s article, “Fraying at the Edges.” Many of them shared their personal connections with the disease.","More than five million Americans are believed to have Alzheimer’s, a majority of whom are 65 and older. The wicked disease slowly robs individuals of their memories as family members and friends try desperately to understand their loved ones’ behavior and emotions."
Photo of Paris Massacre Victim Sets Off Press Freedom Case,2016-05-01,article,News,,"['Privacy', 'News and News Media', 'Photography', 'Paris Attacks (November 2015)', 'Terrorism', 'Freedom of the Press']",A photographer who took a picture of a fatally injured man has been charged under a strict French right-to-privacy law.,"On Friday evening Nov. 13, Maya Vidon-White, like many Parisians, was dining with friends. But the moment she learned that Kalashnikov-wielding terrorists were attacking the Bataclan concert hall, she grabbed her camera, hopped on her scooter and sped to the scene."
