headline,date,doc_type,material_type,section,keywords,abstract,lead_paragraph
Biden Defends Afghan Pullout and Declares an End to Nation-Building,2021-09-01,article,News,,"['Speeches and Statements', 'Afghanistan War (2001- )', 'United States Defense and Military Forces', 'United States International Relations', 'United States Politics and Government', 'Evacuations and Evacuees']","The president offered a glimpse of a different American foreign policy in the post-9/11 world, one that he said would be guided more by competition with China and Russia.","WASHINGTON — President Biden on Tuesday forcefully rejected criticism of his decision to end America’s 20-year war in Afghanistan, hailing what he called the “extraordinary success” of the evacuation of Kabul and declaring the end of an era in which the United States uses military power “to remake other countries.”"
An Afghan Left Behind Tells His Story,2021-09-01,article,Op-Ed,,"['Afghanistan War (2001- )', 'International Relations', 'United States Defense and Military Forces']",Rasheed worked with the U.S. in Afghanistan. Now he is facing threats from the Taliban.,This article will also appear in the Opinion Today newsletter. You can sign up here to receive it in your inbox each weekday morning.
What Is Stefanos Tsitsipas Doing in the Bathroom During His Matches?,2021-09-01,article,News,,"['Tennis', 'United States Open (Tennis)']",Andy Murray says his Monday opponent employs stall tactics too often. Reilly Opelka says Tsitsipas is probably changing his socks.,"It wasn’t his opponent’s dazzling foot speed or the velocity of his serve that Andy Murray was still dwelling on a day after his match. The statistic that stuck with Murray, the 2012 U.S. Open champion, was how long his opponent, Stefanos Tsitsipas, took during his off-court breaks."
Goalball Teammates Set Paralympic Record for Longevity,2021-09-01,article,News,,"['Goalball', 'Olympic Games (2020)', 'Disabilities', 'Blindness', 'Content Type: Personal Profile', 'Paralympic Games', 'Records and Achievements']","Asya Miller and Lisa Czechowski, who have won three Paralympic medals as teammates, first competed together at the Sydney Games in 2000.","TOKYO — Asya Miller and Lisa Czechowski can’t quite remember when they met, probably because it happened half a lifetime ago. In separate interviews this summer, one guessed that they met at a regional track and field meet. The other thought it happened at a goalball tournament."
Developer Charged in Scheme to Bilk Matt Gaetz’s Family,2021-09-01,article,News,,"['United States Politics and Government', 'Frauds and Swindling', 'Amnesties, Commutations and Pardons']",The Justice Department arrested the man for seeking $25 million for a presidential pardon that would have purportedly ended a sex trafficking investigation into Mr. Gaetz.,A Florida real estate developer was arrested on Tuesday by the Justice Department for his role in a scheme to bilk $25 million from the family of Representative Matt Gaetz in exchange for a purported presidential pardon that would have ended a sex trafficking investigation into Mr. Gaetz.
Black Surfers Refuse to Be Excluded: ‘I Have a Right to Be on This Wave’,2021-09-01,multimedia,Interactive Feature,,"['Black People', 'Blacks', 'Surfing', 'Discrimination']",A new generation of surfers and activists are building on the efforts and achievements of those who came before — and carving out a space for themselves.,A new generation of surfers and activists are building on the efforts and achievements of those who came before — and carving out a space for themselves.
Biden Plays the Long Game as He Justifies the End of the ‘Forever War’,2021-09-01,article,News,,"['Afghanistan War (2001- )', 'Evacuations and Evacuees', 'United States Defense and Military Forces', 'United States International Relations', 'United States Politics and Government', 'Speeches and Statements']","President Biden is banking on the assumption that he will be remembered for finally extricating the country from the war in Afghanistan, not for how he did it.","The forever war is over, but the forever debate may be only beginning. As he presided over the end of a lost 20-year mission in Afghanistan, President Biden on Tuesday touched off a prolonged argument for history over his decision to get out, how he handled it and what it means for the future of America."
Wowza!,2021-09-01,article,News,,['Crossword Puzzles'],Sean Yamada-Hunter’s debut is a hypothetical masterpiece.,"WEDNESDAY PUZZLE — Administrivial alert: In an earlier version of this puzzle, the clue at 35-Across read “This, in Spanish” for the answer ESO. The word ESO means “that.” The clue has been corrected online."
"Corrections: Sept. 01, 2021",2021-09-01,article,Correction,,[],"Corrections that appeared in print on Wednesday, Sept. 1, 2021.","An article on Tuesday about college students stranded in Afghanistan misstated comments by the president of the American University of Afghanistan about attempts to evacuate students. He said that the university had shared the students’ names with the U.S. military, and that the military’s protocol was to share that information with the Taliban to coordinate access to the airport. He did not say the U.S. military had shared with the Taliban a list of students trying to leave Afghanistan."
Novak Djokovic holds off Holger Rune in his first U.S. Open match.,2021-09-01,article,News,,"['Tennis', 'United States Open (Tennis)']","Djokovic, who is chasing the Grand Slam, dropped the second set, but his night got easier when the teenager Rune began suffering from cramps in his legs.","Novak Djokovic, the No. 1-ranked men’s tennis player, began his bid for the final leg of the Grand Slam with a 6-1, 6-7 (5), 6-2, 6-1 victory over Holger Rune in the first round of the U.S. Open on Tuesday night."
"Quotation of the Day: Spurning Critics, Biden Calls Exit Notable Success",2021-09-01,article,Quote,,[],"Quotation of the Day for Wednesday, September 1, 2021.",“I was not going to extend this forever war.”
