headline,date,doc_type,material_type,section,keywords,abstract,lead_paragraph
"Market Rises, Perfume and All, as Refugees Face a Long Syria War",2012-11-01,article,News,,"['Rationing and Allocation of Resources', 'Shopping and Retail', 'Refugees and Displaced Persons']","Along the main road through the Zaatari camp in Jordan, there are at least three coffee shops, a brand-new falafel stand inside a tent, and stands selling fruits and vegetables.","ZAATARI, Jordan — Maintaining a glimmer of hope and humor amid grim surroundings, Noor Ibrahim calls his wares “Eau de Liberty.” He stands ready to mix scents like “Red Angel” or “Night of Love” into spray bottles arrayed on a tray set atop an overturned garbage can between the endless rows of dusty tents here. He said he was making $8 to $14 a day."
Suicide by Choice? Not So Fast,2012-11-01,article,Op-Ed,,"['Referendums', 'Depression (Mental)', 'Euthanasia and Assisted Suicide', 'Spinal Muscular Atrophy', 'Law and Legislation']","As a disabled man, I’m nervous about the “right to die” laws.","NEXT week, voters in Massachusetts will decide whether to adopt an assisted-suicide law. As a good pro-choice liberal, I ought to support the effort. But as a lifelong disabled person, I cannot."
"In Dwindling Days of the Race, Romney Takes a Softer Tack",2012-11-01,article,News,,['Presidential Election of 2012'],The evolution of Mitt Romney’s stump speech illustrates his long journey from partisanship toward the middle of American politics.,"TAMPA, Fla. — Mitt Romney used to talk up the “crucial” importance of having two parents in the home, saying “a mom and dad together” have a big impact. But over the past week, he has been extolling the virtues of single mothers at every turn, holding them out as examples of Americans “living for something bigger than themselves.”"
Video: Romney in His Own Words,2012-11-01,article,News,,[],An excerpt of a recent stump speech by Mitt Romney shows the pivot his campaign has taken in the final weeks leading up to Election Day.,"From a speech Wednesday at a campaign rally in Tampa, Fla.:"
"In This Corner, a Much-Needed Distraction",2012-11-01,article,News,,"['Boxing', 'Afghanistan War (2001- )', 'Muslims and Islam']","When a German promoter this week brought the spectacle of professional boxing to Kabul, the only real question for many Afghans was what took so long.","KABUL, Afghanistan — Afghans love a good fight. Dog fights, ram fights, partridge fights — if two combatants square off here, there is sure to be a crowd cheering them on."
Things I Saw — No. 40,2012-11-01,article,News,,['Art'],The artist draws things he saw in Europe and Africa., Suggestions for what you’d like Jason to see and draw may be sent to thingsisaw@nytimes.com.
Storm Aftermath: Live Updates,2012-11-01,article,News,,[],Live updates from the aftermath of Hurricane Sandy.,"Limited subway and commuter rail service returned to New York and its suburbs on Thursday, and power was gradually being restored across the states hit by the storm. Much of the eastern edge of the United States remained crippled, with millions of homes still dark and the death toll climbing."
Fans in Brooklyn Have New Shoulder to Cry On,2012-11-01,article,News,,['Basketball'],"After 35 years in New Jersey, the Nets are a New York team now, and their arrival has spawned a new breed of fan: the Knicks-to-Nets defector.","In the best of times, the Knicks made Nelson Ortiz weep."
Airlines Begin a Laborious Comeback,2012-11-01,article,News,,"['Hurricane Sandy (2012)', 'AIRLINES AND AIRPLANES']",Airlines are struggling to get flight crews and support personnel back in place for travelers who were unlucky enough to be heading home during Hurricane Sandy.,"The airline system in the Northeast slowly started to come back to life on Wednesday, but not quickly enough for Michelle Gippin. She flew into Newark Liberty International Airport from Frankfurt two days late, and then was told she could not get a connecting flight home to Cleveland until Friday or Saturday."
"Wary of Future, Professionals Leave China in Record Numbers",2012-11-01,article,News,,['Immigration and Emigration'],"Although China’s economic boom has created millions of well-paying jobs, its skilled workers are moving elsewhere, in search of better quality of life, and religious and political freedoms.","BEIJING — At 30, Chen Kuo had what many Chinese dream of: her own apartment and a well-paying job at a multinational corporation. But in mid-October, Ms. Chen boarded a midnight flight for Australia to begin a new life with no sure prospects."
Governors Promote Lower Deductibles for Homeowners,2012-11-01,article,News,,"['Hurricane Sandy (2012)', 'Homeowners Insurance']",Homeowners who suffered wind and storm damage this week will get financial relief from rulings that insurers must treat Sandy as a tropical storm and not a hurricane.,Tens of thousands of homeowners who suffered wind and storm damage this week will get financial relief from rulings by several governors that insurers must treat Sandy as a tropical storm and not a hurricane.
