headline,date,doc_type,material_type,section,keywords,abstract,lead_paragraph
Frank Martin’s Formula for Success: ‘You Figure It Out’,2017-04-01,article,News,,"['Basketball (College)', 'Coaches and Managers']",The South Carolina coach has used his three weeks in the national spotlight to dispense wisdom acquired during a life spent seizing opportunities.,"GLENDALE, Ariz. — Frank Martin held another roomful of people under his sway on Friday, delivering lessons that are essentially unchanged from his days working in front of a classroom. After more than 30 years of coaching, including more than a dozen at high schools in his hometown, Miami, Martin finally has an audience commensurate with his outsize personality."
Who’s Worth What at the White House: The Financial Disclosures,2017-04-01,article,News,,[],The Trump administration is releasing the financial disclosure forms from members of the White House staff. Follow along as we discover what they reveal.,The Trump administration released the financial disclosure forms from members of the White House staff. Here is some of what they reveal.
"Quotation of the Day: In Lawsuit After Lawsuit, It’s Everyday People v. Trump",2017-04-01,article,Quote,,[],"Quotation of the Day for Saturday, April 1, 2017.",“It was never my intention to go against the president of the United States. I was just following the law and doing everything the way it’s in the books. And it came to this.”
White House Ends Bar Association’s Role in Vetting Judges,2017-04-01,article,News,,"['United States Politics and Government', 'Federal Courts (US)', 'Appointments and Executive Changes']","The American Bar Association, which recently gave its highest rating to Judge Neil M. Gorsuch, will no longer evaluate candidates for the federal bench.","WASHINGTON — The Trump administration has sent the American Bar Association into exile, ending the group’s semiofficial role in evaluating candidates for the federal bench."
An Expansive View of a Forgotten People,2017-04-01,article,News,,['Photography'],"One of the largest photo displays in Times history, of people who have fled Boko Haram, required an effort just as immense.","Adam Ferguson sensed the moment was right: “Everyone was simply waiting — but there was an air of suspense, too, with people looking off in different directions. I made the decision, on the spot, that this was going to be it.”"
"And Now, the Dreaded Trump Curse",2017-04-01,article,Op-Ed,,"['United States Politics and Government', 'Mines and Mining']",Meet the gang from under the bus.,"These days, the last thing you want is to be known as a Friend of Trump.  He’s doing great — he’s president, for heaven’s sake. His kids are getting jobs, his hotels are getting promoted 24/7. He goes golfing more than your average Palm Beach retiree. Meanwhile, the people he hangs around with are watching their reputations crumble into smithereens."
"After Murder, a Second Chance",2017-04-01,article,Editorial,,"['Prisons and Prisoners', 'Amnesties, Commutations and Pardons', 'Murders, Attempted Murders and Homicides']","To fix America’s prison crisis, we have to release more people convicted of violent crimes.","Early next week, the New York State Board of Parole will hear the petition of Judith Clark, who has spent 35 years in prison for her role in the 1981 robbery of a Brinks armored car in Rockland County that resulted in the murder of two police officers and a guard."
"Francine Hughes Wilson, 69, Domestic Violence Victim Who Took Action, Dies",2017-04-01,article,Obituary (Obit),,"['Domestic Violence', 'Deaths (Obituaries)']","Her case, which was the subject of “The Burning Bed,” a book and a television movie, helped transform the public’s understanding of domestic abuse.","On March 9, 1977, Francine Hughes decided that she had had enough. Thirteen years of verbal and physical abuse from her hard-drinking, fitfully employed husband, James Hughes, known as Mickey, had led to a horrendous fight at their home in Dansville, Mich."
Oregon’s 3-Point Past Catches Up to the Present,2017-04-01,article,News,,"['NCAA Basketball Championships (Men)', 'Basketball (College)']","Howard Hobson, the coach when the Ducks won the 1939 N.C.A.A. title, tested the long-range shot during a scrimmage six years later. It took a while to catch on.","GLENDALE, Ariz. — The statuette positioned at the top of Oregon’s 1939 N.C.A.A. tournament championship trophy appears to be preparing to take a two-handed set shot. That is how long it has been since the Ducks last played in the Final Four."
Man Who Killed Bus Driver With a Stolen Truck Is Found Guilty,2017-04-01,article,News,,"['Murders, Attempted Murders and Homicides', 'Traffic Accidents and Safety']","A jury convicted Domonic Whilby of aggravated vehicular homicide for crashing a truck into a New York City bus after a night of drinking in 2014, though they rejected murder charges.","A Georgia man who stole a truck after a night of drinking and rammed into a crosstown city bus, killing the driver, was convicted on Friday of aggravated vehicular homicide and manslaughter on Friday by a Manhattan jury after a three-week trial in state Supreme Court."
