headline,date,doc_type,material_type,section,keywords,abstract,lead_paragraph
Celebrities lend Biden a hand in turning out the vote in Philadelphia.,2020-11-01,article,News,,[],PHILADELPHIA — Add Debra Messing and Kathy Najimy to the thousands of canvassers spread out across Philadelphia for the Biden campaign on Saturday.,PHILADELPHIA — Add Debra Messing and Kathy Najimy to the thousands of canvassers spread out across Philadelphia for the Biden campaign on Saturday.
The Battlegrounds Within Battlegrounds,2020-11-01,multimedia,Interactive Feature,,['Presidential Election of 2020'],Here are 20 counties in battleground states that are crucial for a White House victory.,Here are 20 counties in battleground states that are crucial for a White House victory.
"‘They’re coming after our state,’ McSally warns Arizona Republicans.",2020-11-01,article,News,,[],"SUN CITY, Ariz. — Don’t believe the polls. Don’t believe the media. And definitely do not believe the Democrats.","SUN CITY, Ariz. — Don’t believe the polls. Don’t believe the media. And definitely do not believe the Democrats."
Kids’ Graphic Novels That Turn the Superhero Genre on Its Head,2020-11-01,article,Review,,"['Books and Literature', 'Children and Childhood', 'Comic Books and Strips', 'Graphic Novels']","Bright, bold and utterly unconventional, both “Mister Invincible” and “Primer” flout all the “rules.”","When I was a kid, my local comic shop was in a strip mall about 10 minutes away from my home. It was one of my favorite places in the world. For 60 cents, I could buy a comic book — a ticket to a universe populated by modern-day gods."
Got Worries? Make Newspaper Dolls to Catch Them,2020-11-01,article,News,,"['Quarantine (Life and Culture)', 'Dolls', 'Handicrafts']",Whispering your fears to these little dolls made of rolled newspaper might help you sleep better.,"There’s a lot to worry about these days. With Covid-19 cases rising, the new darkness of standard time and the election taking place in a few days, everyone could use an extra outlet to release some anxiety. It’s the perfect week to turn your newspaper into a handful of worry dolls."
Learn the Etiquette of Virtual Weddings,2020-11-01,article,News,,"['Quarantine (Life and Culture)', 'Content Type: Service', 'Weddings and Engagements', 'Videophones and Videoconferencing', 'Parties (Social)', 'Customs, Etiquette and Manners']",The answers to all your 2020 pandemic wedding dilemmas.,"With weddings this year being delayed, downsized or split into two — video ceremony now, party next year — many guests have some only-in-2020 etiquette questions. Should you dress up? Send a present — or two? Read on for answers to all your pandemic wedding quandaries."
Listen to the Globe,2020-11-01,article,News,,"['Quarantine (Life and Culture)', 'Radio', 'Music']",Radio programming from around the world is available on the internet or through apps.,"Americans may not be able to travel the world because of the pandemic, but thousands of foreign radio stations are easily accessible online to bring the world to you."
Tap LinkedIn for Career Opportunities,2020-11-01,article,News,,"['Quarantine (Life and Culture)', 'Content Type: Service', 'Social Media', 'Careers and Professions', 'Hiring and Promotion']","Whether you’re looking for a new role or just trying to expand your professional network, here’s how to use the website’s services to your full advantage.","Arguably the least fun social media platform, LinkedIn used to be the online equivalent of a professional networking event — a stodgy affair that no one really wanted to hang around. But, for the foreseeable future, the pandemic has all but eradicated most other methods of sniffing out career opportunities. Now that grabbing drinks with former colleagues or hobnobbing at work conferences is off the table, LinkedIn has been promoted from obligatory to essential."
Sean Connery: From Tentative Secret Agent to Suave Bond,2020-11-01,article,News,,"['Movies', 'Bond, James (Fictional Character)', 'Content Type: Personal Profile', 'Actors and Actresses']","He may be considered the ultimate 007, but it took him time to find his footing, helped by a director with a taste for high living.","In 1965, at the height of James Bond mania, Sean Connery told Playboy magazine that he had no problem with another actor assuming his signature role. “Actually, I’d find it interesting to see what someone else does with it,” he said. “Lots of people could play him.”"
Don’t Give In to ‘Election Stress Disorder’,2020-11-01,article,News,,"['Quarantine (Life and Culture)', 'Content Type: Service', 'Presidential Election of 2020', 'Anxiety and Stress', 'Politics and Government']","Voting day won’t bring an end to the strain of this political season, but you don’t have to let things get contentious.","From the droves of people voting by mail to the widespread protests for racial justice to the pandemic and worries about the electoral process itself, the 2020 election cycle provides “a recipe for a lot of angst” on Election Day, according to Alvin Bernard Tillery Jr., a professor of political science at Northwestern University."
"Corrections: Nov. 1, 2020",2020-11-01,article,News,,[],"Corrections that appeared in print on Sunday, Nov. 1, 2020.","An interview on Sept. 27 about Ilhan Omar, the Democratic congresswoman from Minnesota, referred incorrectly to her family’s arrival in the United States in 1995. They came to the United States as refugees. They were not granted asylum status."
Quotation of the Day: Tracing Now All but Impossible as Outbreaks Tear Through U.S.,2020-11-01,article,News,,[],"Quotation of the Day for Sunday, November 1, 2020.",“You can swing a cat and hit someone who has got it.”
"This Election Week, Revisit the Constitution, Then Soothe Your Stressed Mind",2020-11-01,article,News,,"['Quarantine (Life and Culture)', 'Theater', 'Dancing', 'Meditation', 'Music', 'Classical Music', 'Art']","Calm your nerves with a meditation guide, a night at the Seattle Symphony and a day among the sea otters at the Monterey Bay Aquarium.",Here is a sampling of the week’s events and how to tune in (all times are Eastern). Note that events are subject to change after publication.
