headline,date,doc_type,material_type,section,keywords,abstract,lead_paragraph
On AIDS: Three Lessons From Africa,2014-08-01,article,News,,"['Acquired Immune Deficiency Syndrome', 'Pregnancy and Childbirth']","How Rwanda, Ethiopia and Malawi became “positive deviants” in the global fight against H.I.V./AIDS.","An AIDS fable: Once upon a time, in the years after AIDS went from being a death sentence to a manageable disease, at least for people rich enough to take antiretroviral therapy, many of the people who ran the world believed that these medicines weren’t appropriate for residents of very poor countries. Even leaving aside the cost, they thought that poor people couldn’t take their medicines on time. Andrew Natsios, the head of the United States Agency for International Development in the George W. Bush administration, argued against funding antiretroviral therapy in Africa. “People do not know what watches and clocks are,” he told the Boston Globe in June, 2001."
The Party’s Over When the Flesh-Eating Virus Arrives,2014-08-01,article,Review,,['Movies'],A bachelor party accidentally lands on an island contaminated by a flesh-eating virus in “Cabin Fever: Patient Zero.”,CABIN FEVER
Injury to Wilson Puts the Giants’ Backfield in Motion,2014-08-01,article,News,,['Football'],"With David Wilson’s status uncertain after another injury, the Giants’ other running backs may have to adjust to execute the team’s new West Coast offense without him.","EAST RUTHERFORD, N.J. — Giants General Manager Jerry Reese was asked in the spring if the team was counting on running back David Wilson to return from off-season, career-threatening neck surgery. Reese answered that he viewed Wilson, the team’s first-round draft pick in 2012, as a “bonus” because the team had made other plans for its backfield."
The Making of a Musician,2014-08-01,article,Review,,"['Movies', 'Documentary Films and Programs', 'Music']","Alex Gibney’s new documentary looks at Fela Kuti, the outspoken Afrobeat musician and singer.",FINDING FELA
A Suggestion for the Right Shoe for Unusual Moments,2014-08-01,article,News,,"['ADVERTISING AND MARKETING', 'Shoes and Boots']",Ads show shoes or bags and suggest occasions like “anticipatory walk of shame” and “starter husband hunting.”,"MARKETING for women’s shoes often includes recommendations for when to wear particular styles, suggesting that a gladiator sandal would be perfect for, say, a picnic, or a pointy pump for a bachelorette party. But a new campaign from Nine West, the shoe and accessories brand, takes a decidedly more cheeky approach with when-to-wear suggestions."
"Mundanity at Home, Furry Little Pet Included",2014-08-01,article,Review,,['Movies'],"“The Strange Little Cat,” set primarily in a Berlin apartment, tracks a family’s day leading up to Saturday dinner.","“Spelled wrong, almost every word seems funny,” says Karin (Anjorka Strechel) in “The Strange Little Cat.” She’s referring to the habitual writing errors of her sister, Clara, but she might also be describing the method of the movie, a radically disorienting, disarmingly odd first feature from Ramon Zürcher."
"Taking Selfies, 35,000 Feet Down ",2014-08-01,article,News,,"['Movies', 'Documentary Films and Programs', 'Submarines and Submersibles', '3-D Devices and Effects']","James Cameron documents his expedition to the Mariana Trench, the deepest part of the ocean, in the documentary “Deepsea Challenge 3D.”","To the public, James Cameron is a director of top-grossing movies who moonlights as a deep-sea explorer. Mr. Cameron might see it the other way around."
North Carolina Budget May Raise Teacher Pay ,2014-08-01,article,News,,"['Education (K-12)', 'Teachers and School Employees', 'Wages and Salaries', 'Budgets and Budgeting', 'State Legislatures', 'Government Employees']","The North Carolina Senate moved toward sealing a long-sought budget accord on Thursday, voting in favor of a $21 billion plan that would raise the salaries of public schoolteachers but impose cuts elsewhere in state government.","The North Carolina Senate moved toward sealing a long-sought budget accord on Thursday, voting in favor of a $21 billion plan that would raise the salaries of public schoolteachers but impose cuts elsewhere in state government."
"U.S. Seeks Release of Couple in Qatar, Creating Tensions With a Crucial Arab Ally ",2014-08-01,article,News,,"['United States International Relations', 'Children and Childhood', 'ADOPTIONS', 'Race and Ethnicity', 'Murders and Attempted Murders', 'False Arrests, Convictions and Imprisonments', 'Child Abuse and Neglect']",The State Department asked Qatar to lift a travel ban against an American couple being held in connection with the death of their adopted daughter.,"The United States on Thursday called on Qatar, the tiny gulf emirate and important Arab ally, to lift a travel ban on an American couple held there for more than 19 months on a criminal prosecution over the death of their adopted African daughter, a case that critics contend is riddled with irregularities, racial prejudice and cultural misunderstandings."
"Argentina Is in Default, and Also Maybe in Denial",2014-08-01,article,News,,['Government Bonds'],"For a nation that went through a devastating default 13 years ago, the collective memory of what a real economic default feels like is still fresh.","Argentina may be in default, but you might not know it if you lived in Buenos Aires."
