headline,date,doc_type,material_type,section,keywords,abstract,lead_paragraph
Use of Ad-Blocking Software Rises by 30% Worldwide,2017-02-01,article,News,,"['Online Advertising', 'Smartphones', 'Computers and the Internet']",People are increasingly using the technology on their mobile devices and computers to block intrusive advertisements while surfing the web.,Facebook has tried to ban it. Google has attempted to outsmart it.
"A Polluted Site, and a Potential Mess for the Trump Organization",2017-02-01,article,News,,[],"The organization wants the State of South Carolina to limit its cleanup costs at an industrial site, but it may not be eligible for the program to which it applied.",An attempt by the Trump Organization to limit its liabilities at a polluted site in South Carolina once owned by President Trump’s oldest son may have just hit a wall.
Fighting in Ukraine May Complicate U.S. Thaw With Russia,2017-02-01,article,News,,['United States International Relations'],"The outbreak of violence killed at least eight Ukrainian soldiers and three on the pro-Russian side, shifting the front lines by only a few hundred yards in spots.",MOSCOW — The war in eastern Ukraine that simmered quietly for months has erupted in a lethal bout of fighting in recent days.
U.S. Airstrikes Hit Taliban After Attack on an Afghan Army Post,2017-02-01,article,News,,"['United States Defense and Military Forces', 'Afghanistan War (2001-14)']","The airstrikes in an embattled district of Helmand Province came after the militants tunneled under an army post and set off explosives, killing Afghan soldiers.","KABUL, Afghanistan — American airstrikes hit Taliban positions in an embattled district of Helmand Province in southern Afghanistan on Tuesday after the militants tunneled under an army post and set off explosives, causing heavy casualties, Afghan officials said."
A Diplomat’s Proper Channel of Dissent,2017-02-01,article,Op-Ed,,"['United States International Relations', 'United States Politics and Government', 'Diplomatic Service, Embassies and Consulates', 'Immigration and Emigration', 'Executive Orders and Memorandums', 'Refugees and Displaced Persons']","Expressing opposition prevents group think, but you will get more listeners if you do it privately.","Organizations, particularly large ones, have a tendency to engage in group think. They need to make an extra effort to listen to dissenting views to ensure that the organization is pursuing the right goals."
"In Etan Patz Case, Prosecutors Point to Pedro Hernandez’s Words",2017-02-01,article,News,,"['Murders, Attempted Murders and Homicides']",Closing arguments made by the prosecution rested heavily on video clips of Mr. Hernandez and testimony about what he had told relatives and friends.,"In one video clip, Pedro Hernandez calmly described encountering a boy on a sidewalk outside the bodega where he worked in Manhattan. He said he lured him into the basement with the promise of a soda, and he strangled him. In another, he smoked a cigarette as he walked with detectives through SoHo, showing them the corridor where he had left the body in a box with garbage."
What You Need to Know About #DeleteUber,2017-02-01,article,News,,"['Car Services and Livery Cabs', 'Taxicabs and Taxicab Drivers', 'Immigration and Emigration']",The ride-hailing company has been forced to contend with an unexpected event: a surge in users seeking to delete their accounts.,"If you’ve been paying attention to Twitter for the past few days, you may have noticed a trending hashtag: #DeleteUber."
The Depp Conundrum: Who Should Keep Tabs on the Money?,2017-02-01,article,News,,"['Financial Planners', 'United States Politics and Government', 'Law and Legislation', 'Suits and Litigation (Civil)']",New fiduciary rules are at the center of a battle in the federal government. Is Johnny Depp’s lawsuit against his financial advisers an argument for or against them?,"The thing celebrity magazines never mention about Johnny Depp’s current problems — the foreclosures on his homes, how he was said to have cut off his fingertip in a marital dispute, the fact he may need to  sell a small French village to cover debts associated with the subsequent divorce — is how his challenges are relevant to the Trump administration."
Conservatives Alienated by Boy Scouts’ Shift on Transgender Policy,2017-02-01,article,News,,"['Christians and Christianity', 'Transgender and Transsexuals', 'Homosexuality and Bisexuality', 'Freedom of Religion']",Conservative groups view the decision by the Boy Scouts of America as another sign that the organization is moving away from its traditions.,"When the Boy Scouts of America announced Monday that transgender boys would be welcome to camp, hike and earn merit badges alongside their peers, the move brought praise from critics of the organization who for years have called for more inclusive membership rules."
"Wash Me, S’Il Vous Plaît",2017-02-01,article,Brief,,['Automobiles'],Recalling a universal message on a dirty car window.,Dear Diary:
