headline,date,doc_type,material_type,section,keywords,abstract,lead_paragraph
Facebook Could Block Sharing of News Stories in Australia,2020-09-01,article,News,,"['Computers and the Internet', 'News and News Media', 'Social Media', 'Regulation and Deregulation of Industry', 'Rumors and Misinformation', 'Search Engines', 'Law and Legislation']","The move, a response to pressure to pay publishers when their stories are posted on the social network, could add to internet silos springing up around the world.","With each passing day, the World Wide Web is becoming an outdated name."
Unwitting Progressives for Trump,2020-09-01,article,Op-Ed,,"['George Floyd Protests (2020)', 'Demonstrations, Protests and Riots', 'Presidential Election of 2020', 'Black Lives Matter Movement', 'Looting (Crime)', 'Race and Ethnicity', 'Police Brutality, Misconduct and Shootings', 'Monuments and Memorials (Structures)']",Does Joe Biden have the nerve to stand up to the far left?,"On Thursday, as Donald Trump was about to accept the Republican nomination from the South Lawn of the White House with warnings that “No one will be safe in Biden’s America,” National Public Radio was doing its small part to make sure the president would be re-elected."
"‘We Germans,’ Alexander Starritt by the Author: An Excerpt",2020-09-01,article,Review,,[],"An excerpt from “We Germans,” by Alexander Starritt","My dear Callum,"
A Long History of Language That Incites and Demonizes,2020-09-01,article,News,,"['George Floyd Protests (2020)', 'Demonstrations, Protests and Riots', 'Presidential Election of 2020', 'Antifa Movement (US)', 'Black Lives Matter Movement', 'Police Brutality, Misconduct and Shootings', 'United States Politics and Government', 'Black People', 'Blacks', 'Charlottesville, Va, Violence (August, 2017)', 'Republican National Convention']",President Trump has employed provocative and sometimes incendiary words and images to focus attention on demonstrations and away from the human and economic costs of the pandemic.,[Follow our daily updates on the latest presidential election polls.]
Trump Defends Kyle Rittenhouse,2020-09-01,multimedia,Video,,"['United States Politics and Government', 'Demonstrations, Protests and Riots', 'Murders, Attempted Murders and Homicides']","President Trump said Mr. Rittenhouse, the 17-year-old who has been charged in the killings of two people in Wisconsin, was “violently attacked.”","President Trump said Mr. Rittenhouse, the 17-year-old who has been charged in the killings of two people in Wisconsin, was “violently attacked.”"
One of the Candidates Cheers Violence. It’s Not Biden.,2020-09-01,article,Op-Ed,,"['Presidential Election of 2020', 'George Floyd Protests (2020)', 'United States Politics and Government', 'Polls and Public Opinion', 'Demonstrations, Protests and Riots', 'Fringe Groups and Movements', 'Whites', 'Terrorism', 'Vandalism', 'Voting and Voters', 'Black Lives Matter Movement', 'Republican National Convention']",Trump has urged his fans to mayhem since his first presidential campaign.,"When Elizabeth Neumann went to work in counterterrorism in Donald Trump’s Department of Homeland Security, she thought she’d be focused on Islamic extremism, as she was in George W. Bush’s administration. But as the assistant secretary for counterterrorism and threat prevention at D.H.S., she soon realized that she had to take the threat of white-supremacist terrorism seriously."
Unable to Decide,2020-09-01,article,News,,['Crossword Puzzles'],David Steinberg slashes through his grid.,"TUESDAY PUZZLE — Readers sometimes ask why I select a certain photo to go with a column, and it wasn’t something I really thought about until I solved David Steinberg’s puzzle. There are actually quite a few factors that go into the decision. Chief among them is that I try my best not to spoil the puzzle, although sometimes that can’t be helped — solvers do not want a hint at what the puzzle might be about, yet my copy editors sometimes feel that not connecting the photo to the column will be confusing. I try to land somewhere in the middle, and my editors tend to humor me."
"Quotation of the Day: In Command: The Few, the Proud, the White",2020-09-01,article,Quote,,[],"Quotation of the Day for Tuesday, September 1, 2020.",“Tony Henderson has done everything you could do in the Marines except get a hand salute from Jesus Christ himself.”
"Corrections: Sept. 1, 2020",2020-09-01,article,Correction,,[],"Corrections that appeared in print on Tuesday, Sept. 1, 2020.","An article on Monday about the fossil fuel industry’s demands for a trade deal that weakens Kenya’s rules on plastics and imports of American trash misidentified a group formed by the plastics industry to address the issue of waste. It is the Alliance to End Plastic Waste, not the Alliance to End Public Waste."
How the Fatal Shooting at a Portland Protest Unfolded,2020-09-01,article,News,,"['Demonstrations, Protests and Riots', 'Murders, Attempted Murders and Homicides', 'George Floyd Protests (2020)', 'Black Lives Matter Movement', 'Video Recordings, Downloads and Streaming', 'Fringe Groups and Movements']","We followed the final moments of a man shot and killed in Portland, Ore., as supporters of President Trump clashed with those protesting police violence.","The fatal shooting of a far-right group’s supporter in Portland, Ore., on Saturday is raising fears that the Black Lives Matter and pro-Trump protests across the country could escalate into more deadly skirmishes."
