headline,date,doc_type,material_type,section,keywords,abstract,lead_paragraph
Where Paella Meets Plantains,2013-11-01,article,Review,,['Restaurants'],The menu at La Parrilla combines Spanish classics with Latin American dishes.,"La Parrilla has a Spanish accent that encompasses both the Old World and the New. This Port Jefferson newcomer, which opened in late March, took over the building that housed the Spanish restaurant Costa de España for many years. The owner of La Parrilla, Vin Grillo, a first-time restaurateur, said his menu was a combination of Spanish and Latin American food."
The Kids Are Not Happy About Dad’s New Friend,2013-11-01,article,Review,,['Movies'],Sandra Nettelbeck’s “Last Love” stars Michael Caine as a cantankerous widower whose two children are concerned about his relationship with a young Parisian.,"Psychological verisimilitude: If that were all it took to make a powerful movie about family strife and impending mortality, the German filmmaker Sandra Nettelbeck’s “Last Love” would join Michael Haneke’s “Amour” on the short list of touching late-life dramas. "
"Outdistancing Suicide, Papa’s Family Curse",2013-11-01,article,Review,,"['Documentary Films and Programs', 'Movies', 'Suicides and Suicide Attempts']","In a Barbara Kopple documentary, Mariel Hemingway discusses the struggle against a genetic predisposition to mental illness.","The up-close-and-personal promise of cinéma vérité in the 1960s could be exploited in a number of ways. Some documentaries explored ordinary life as a subject (“Salesman,” “High School”), but just as often they orbited stars (Bob Dylan in “Don’t Look Back,” John F. Kennedy in “Primary”). The career of the award-winning filmmaker Barbara Kopple has intriguingly spanned this spectrum, as she has both risked her life to chronicle a miners strike in the 1976 stone-cold classic, “Harlan County, U.S.A.,” and watched Woody Allen quip about hotel laundry service in “Wild Man Blues” (1998)."
Federal Review Opened in Georgia Death,2013-11-01,article,News,,"['Asphyxiation, Choking, and Suffocation', 'Deaths (Fatalities)']","The death Kendrick L. Johnson, which was ruled accidental, has been the subject of persistent questions since his body was found in a blue mat at his high school.",ATLANTA — The United States Department of Justice said Thursday that it had opened a formal review of the death of a 17-year-old boy found in a rolled-up wrestling mat at his Georgia high school in January.
A War on the Poor,2013-11-01,article,Op-Ed,,"['United States Politics and Government', 'Poverty', 'Welfare (US)', 'Race and Ethnicity', 'Minorities', 'Medicaid']",What happened to the Republican Party? It’s almost as if the party is solely focused on its hostility to the less fortunate.,"John Kasich, the Republican governor of Ohio, has done some surprising things lately. First, he did an end run around his state’s Legislature — controlled by his own party — to proceed with the federally funded expansion of Medicaid that is an important piece of Obamacare. Then, defending his action, he let loose on his political allies, declaring, “I’m concerned about the fact there seems to be a war on the poor. That, if you’re poor, somehow you’re shiftless and lazy.”"
Judge Invalidates Patent for a Down Syndrome Test,2013-11-01,article,News,,"['Inventions and Patents', 'Tests (Medical)', 'Genetics and Heredity', 'Down Syndrome', 'DNA (Deoxyribonucleic Acid)', 'Suits and Litigation (Civil)']","Susan Illston, a federal judge, ruled the patent for the noninvasive test invalid because it covered a natural phenomenon, the presence of DNA from the fetus in a mother’s blood.",A federal judge has invalidated the central patent underlying a noninvasive method of detecting Down syndrome in fetuses without the risk of inducing a miscarriage.
Rethinking the Main Course,2013-11-01,article,Review,,['Movies'],"In “Free Birds,” Woody Harrelson and Owen Wilson provide the voices for two turkeys who travel back in time to alter the first Thanksgiving.","Some animated films, like “My Neighbor Totoro,” seem nonsensical because they replicate the strange logic of a child’s imagination. Others make little sense because the concept is inane, and the execution is manic and unoriginal. “Free Birds,” the new cartoon about time-traveling turkeys, is the second kind. "
The Ode Heard Round the World,2013-11-01,article,Review,,"['Documentary Films and Programs', 'Classical Music', 'Movies']","“Following the Ninth,” a documentary, explores the legacy of Beethoven’s final symphony.","With the release last spring of a phenomenally popular iPad app, an exhibition at the Morgan Library & Museum of the original manuscript, and now the documentary “Following the Ninth: In the Footsteps of Beethoven’s Final Symphony,” the Ninth seems to be having a cultural moment. Of course, that’s not quite right: Since its premiere in 1824, it has never truly left the spotlight. "
Events in Westchester,2013-11-01,article,Schedule,,"['Art', 'Culture (Arts)']",A guide to cultural and recreational events in the Hudson Valley.,A guide to cultural and recreational events in the Hudson Valley. Items for the calendar should be sent at least three weeks in advance to westweek@nytimes.com.
Being ‘Partly Jewish’,2013-11-01,article,Op-Ed,,"['Jews and Judaism', 'Families and Family Life', 'Christians and Christianity', 'Parenting']","Children who grow up in interfaith communities, learning and celebrating both family religions, are not lost to Judaism.","IN the course of a year, my family celebrates Yom Kippur, Rosh Hashana, Sukkot, Simhat Torah, Hanukkah, Passover and many Shabbats. We also celebrate All Saints’ Day and All Souls, Advent, Christmas, Lent and Easter. We are part of a growing movement to raise interfaith children with both family religions."
