headline,date,doc_type,material_type,section,keywords,abstract,lead_paragraph
"In Brooklyn, Challenging the Party Establishment",2017-09-01,article,News,,"['Elections', 'Politics and Government']","The New Kings Democrats, formed in 2008, continue to lobby for reform with the Democratic Party and to engage more of the community.","When their excitement of watching Barack Obama win the presidency began to fade and the reality of the local political machine — something they wanted to be a part of — had set in, Rachel Lauter and Matt Cowherd founded New Kings Democrats, the Brooklyn-based, grass-roots political organization."
Storm’s Impact on Oil Industry Is Felt at Gasoline Pumps,2017-09-01,article,News,,"['Oil (Petroleum) and Gasoline', 'Prices (Fares, Fees and Rates)', 'Pipelines', 'Hurricane Harvey (2017)', 'Shortages']","Fuel prices are up sharply nationwide in Hurricane Harvey’s aftermath, and may be so for months, given the blows to refining, production and shipping.",HOUSTON — Ports along the Gulf of Mexico are closed to fuel barges. Part of the biggest pipeline between Texas and New York has stopped flowing. Refineries and gas stations are flooded. Drilling rigs in the biggest shale field in Texas are running low on diesel supplies.
"South of the Border, Migrants Eye a Storm-Torn Texas",2017-09-01,article,News,,"['Illegal Immigration', 'Immigration and Emigration', 'Hurricane Harvey (2017)']","The powerful storm that struck Texas created opportunities in the eyes of some border crossers, but many fearing new immigration policies stayed put.","NUEVO LAREDO, Mexico — When a group of migrants staying in a shelter in this border city heard last weekend that Hurricane Harvey was barreling down on Texas, they did not wait. They saw an opportunity to ford the Rio Grande and slip into the United States, using the storm as cover."
Mattis Insists He and Trump Are on the Same Page on North Korea,2017-09-01,article,News,,['United States International Relations'],"Asked if he had considered resigning over policy differences with the president, Defense Secretary Jim Mattis said he was committed to serving as secretary of defense.",WASHINGTON — Defense Secretary Jim Mattis insisted on Thursday that he was not at odds with President Trump over North Korea and asserted that the media had misinterpreted his recent remarks on how to deal with Pyongyang.
Officials Eye Euphrates River Valley as Last Stand for ISIS,2017-09-01,article,News Analysis,,"['Defense and Military Forces', 'United States Defense and Military Forces', 'Terrorism']","Even with the Islamic State on the run, U.S. advisers grapple with political and military problems in wresting Iraqi and Syrian towns from extremists.","WASHINGTON — Islamic State fighters are expected to make their last stand in a series of Euphrates River Valley towns and villages that American-backed Syrian and Iraqi forces are not expected to attack for months, American officials said Thursday."
"How Shelley Worrell, Creator of CaribBeing, Spends Her Sundays",2017-09-01,article,News,,"['Art', 'Movies']","The creator of the Brooklyn-based Caribbean culture hub likes to garden, buy Caribbean produce and check out neighbors’ West Indian Day Parade costumes.","Growing up in Flatbush, Brooklyn, Shelley Vidia Worrell saw her Caribbean roots reflected everywhere. So as an adult, in an effort to celebrate and preserve them, she created CaribBeing, which hosts film series and art exhibitions, and which just completed a monthlong residency in a shipping container at the Brooklyn Museum. When not at the museum or working with the mayor’s office to designate an official Little Caribbean in Flatbush, Ms. Worrell, 40, has been checking out her neighbors’ preparations for the West Indian American Day Parade, which will be held on Sept. 4 in Crown Heights. She lives in a brownstone with her husband, Janluk Stanislas, a filmmaker."
"Quotation of the Day: Metropolis Awash in Stagnant Brew of Chemicals, Sewage and Garbage",2017-09-01,article,Quote,,[],"Quotation of the Day for Friday, September 1, 2017.",“There’s no need to test it. It’s contaminated. There’s millions of contaminants.”
"Stephon Marbury Stops at N.Y.U., as His Story Continues",2017-09-01,article,News,,['Basketball'],"After a contentious N.B.A. career, the basketball standout from Brooklyn became a star in China; he spoke to students Wednesday about his odyssey.",Stephon Marbury walked into a secluded courtyard off East 12th Street in Lower Manhattan Wednesday afternoon and settled into a chair between two tables stacked with boxes of shoes.
What Sandy Can Teach Harvey About Recovery,2017-09-01,article,News,,"['Hurricane Sandy (2012)', 'Hurricane Harvey (2017)', 'Volunteers and Community Service']","Five years after the storm that wreaked havoc in New York, some victims are still rebuilding their homes. What can Houston learn from the city’s mistakes?","Disasters are meant to inform each other, the mistakes of one recovery observed and presumably avoided in the next. Those tasked with remaking Houston in the wake of the current devastation, will have a thick playbook of error on which to reflect."
Drag Racing for Any Car: 12 Seconds of Pure Adrenaline,2017-09-01,article,News,,['Drag Racing'],A photographer captured the rush of “Race Your Own Ride” night at Raceway Park in New Jersey.,"You really think a Prius can blow the doors off a Hyundai Elantra? On Wednesday nights, the place to settle such a question is Englishtown, N.J., where $20 can buy drivers three runs on the quarter-mile drag strip at Raceway Park."
