headline,date,doc_type,material_type,section,keywords,abstract,lead_paragraph
U.S. Appeals Court Rejects Fifth Attempt to Move Boston Marathon Bombing Trial ,2015-03-01,article,News,,"['Boston Marathon Bombings (2013)', 'Appeals Courts (US)']","Upholding a federal district judge’s three denials, a panel voted 2 to 1 to allow the trial to proceed in the city where the attacks occurred.","BOSTON — A divided federal appeals court has rejected a motion by Dzhokhar Tsarnaev, accused in the Boston Marathon bombing, to move his trial out of the city, paving the way for opening statements in the case to begin Wednesday."
"Golf’s Spring Training Comes With Balls, Gloves and Cleats, but No Batting Cage",2015-03-01,article,News,,"['Golf', 'Masters Golf Tournament']","In Florida, players hone their skills in preparation for the sport’s “opening day” — the Masters.","PALM BEACH GARDENS, Fla. — A few minutes from the spring training home of the Miami Marlins and the St. Louis Cardinals, several of the best players in the world have spent this week honing their swings. They have worked on moving the ball in different directions and set different goals for each day."
Mexico Moves to Save Endangered Porpoise,2015-03-01,article,News,,"['Endangered and Extinct Species', 'Dolphins and Porpoises', 'Fishing, Commercial']",The government’s new policy bans gillnets for two years across the northern Gulf of California and compensates shrimp fishermen for their lost catch.,"MEXICO CITY — The Mexican government is making a final effort to save the vaquita, a tiny porpoise that has been driven to the edge of extinction as a result of illegal fishing for another endangered species that is served as a delicacy in China."
"At St. John’s, a Heralded Class Still Seeks a Capstone",2015-03-01,article,News,,"['Basketball (College)', 'College Athletics', 'NCAA Basketball Championships (Men)', 'Draft and Recruitment (Sports)']","Four years ago, St. John’s brought in a group of recruits that seemingly had the potential to return the program to the top tier, but now those seniors are still looking for their first N.C.A.A. tournament berth.","They arrived four years ago, a small army of prize recruits that was supposedly Coach Steve Lavin’s message to the college basketball establishment that St. John’s was back, and perhaps soon to be better than ever."
"Germans at the Crux of Crises, but Reluctantly",2015-03-01,article,News,,['Defense and Military Forces'],"Europe’s indispensable nation, at the center of crises over Ukraine and Greece and often uncomfortable with leadership, has had a rocky month.","BERLIN — Germany has become Europe’s indispensable nation, at the center of crises over Ukraine and Greece. But a country uncomfortable with leadership, often labeled a reluctant hegemon, has had a rocky month."
G.O.P. Race Starts in Lavish Haunts of Rich Donors,2015-03-01,article,News,,"['Presidential Election of 2016', 'Campaign Finance', 'Political Action Committees']","In one resort town after another, the Republican presidential hopefuls are making their case to exclusive gatherings of donors whose wealth was unleashed by the Supreme Court’s Citizens United decision.","PALM BEACH, Fla. — Instead of the corn dogs and pork chops on a stick ritually served up on the hustings of Iowa, the latest stop on the donor trail featured meals of diver scallops and chocolate mousse. The setting was the Breakers, a sprawling Italian Renaissance-inspired hotel here, where the cheapest available rooms fetched $800 a night. And for the half-dozen Republican presidential candidates invited to the annual winter meeting this weekend of the Club for Growth, an influential bloc of deep-pocketed conservatives, the prize was not votes. It was money."
Tupperware’s Sweet Spot Shifts to Indonesia ,2015-03-01,article,News,,"['Women and Girls', 'Labor and Jobs']","As in 1960s America, many Indonesian women stay at home, creating an audience for parties run by women who have begun to sidle past conservative mores and into the work force.","JAKARTA, Indonesia — The party had the feel of 1960s America, almost. A group of women, thrilled to get a break from the daily routine of hanging laundry and shuttling their children to and from school, sat in a circle, listening to a friend hawk plastic storage bowls in a dizzying array of pastels."
"In Tributes, Knicks Remember Anthony Mason",2015-03-01,article,News,,['Basketball'],"Before their game against the Toronto Raptors on Saturday night at Madison Square Garden, the Knicks saluted Mason, a former player who died early Saturday morning after experiencing congestive heart failure a few weeks ago.","There was a somber undercurrent before the Knicks’ game against the Toronto Raptors on Saturday night as the organization paid tribute to Anthony Mason, a former player who died early Saturday after suffering congestive heart failure just over three weeks ago."
"Winning Lottery Numbers for Feb. 28, 2015",2015-03-01,article,List,,['Lotteries'],"Lottery numbers for New York, New Jersey and Connecticut."," Feb. 28, 2015"
"Quotation of the Day for Sunday, March 1, 2015",2015-03-01,article,Quote,,[],"Quotation of the day for Sunday, March 1, 2015.",“Do I have rogue correction officers at Attica or Clinton or Great Meadow? Yep. Do I have to rigorously pursue those rogue officers when I find evidence that they’ve engaged in excessive force or have done something untoward to the inmate population? Absolutely.”
