headline,date,doc_type,material_type,section,keywords,abstract,lead_paragraph
Tom Brokaw: You Can Find the Entire World Inside Your Hospital,2018-01-01,article,Op-Ed,,"['Health Insurance and Managed Care', 'Immigration and Emigration', 'Hospitals', 'Patient Protection and Affordable Care Act (2010)']",American health care is a universe of scientific genius and selfless compassion populated by the most diverse population in the country.,President Trump is vowing to return to two of his favorite goals in 2018: a crackdown on immigration and the dissolution of the Affordable Care Act.
New York Family of 5 Among 10 Americans Killed in Costa Rica Plane Crash,2018-01-01,article,News,,"['Aviation Accidents, Safety and Disasters']","The Costa Rican government said the crash occurred in the mountainous area of Punta Islita, a tourist destination about 140 miles west of the capital, San José.","In the weeks before their family trip to Costa Rica, Bruce and Irene Steinberg of Scarsdsale, N.Y., told friends and family how excited they were to take their three sons on an adventure through that country’s lush forests and tropical beaches."
The Wall of Love Outside a Jail,2018-01-01,article,News,,"['Prisons and Prisoners', 'Families and Family Life', 'Posters', 'vis-photo']",Families have turned the side of a warehouse facing a federal jail in Brooklyn into a message board for their imprisoned relatives.,"Maria stood outside the Metropolitan Detention Center in Sunset Park, Brooklyn, on a recent evening, looking up. The jail loomed above, a concrete bulwark more than a dozen stories high and lined in narrow windows. Behind one of them was her husband."
The Sentient-Being Diet,2018-01-01,article,Op-Ed,,"['Books and Literature', 'New Year']",Making New Year resolutions as a hedge against apocalypse.,"NASHVILLE — Two weeks ago I was reading a book by a brilliant writer whose life was cut short by melanoma — “Dying: A Memoir,” by Cory Taylor — when I noticed a weird little growth on the skin just above my heart. A weird little growth right where long ago I used to slather a baby-oil-and-iodine concoction as I sat on a dorm roof during my college years. A weird little growth that suddenly struck me as almost certainly malignant melanoma."
Changing the Script,2018-01-01,article,Letter,,"['Movies', 'Women and Girls', ""Women's Rights""]","Screenwriters need to stop letting male characters control the direction of a film’s plot, a reader says.",To the Editor:
Don’t Belittle Egypt,2018-01-01,article,Letter,,['United States International Relations'],"Egypt’s ambassador asserts that the country is an important U.S. ally, contrary to what two Op-Ed writers said.",To the Editor:
Apportioning Blame for the Amtrak Tragedy,2018-01-01,article,Letter,,"['Railroads', 'Transportation', 'Accidents and Safety', 'Infrastructure (Public Works)']","Readers point to Congress, the Federal Railroad Administration and the nature of our market economy.",To the Editor:
Taxing College Endowments,2018-01-01,article,Letter,,"['Colleges and Universities', 'Financial Aid (Education)', 'Federal Taxes (US)']","The president of the Association of American Universities decries the tax, which she says will reduce the funds for student aid.",To the Editor:
When the Parent-Child Bond Is Cut,2018-01-01,article,Letter,,"['Parenting', 'Children and Childhood']",Readers discuss family estrangement from the perspective of both parents and children.,To the Editor:
Overwhelmed by Donations for Survivors of Fatal Bronx Fire,2018-01-01,article,News,,['Fires and Firefighters'],"The outpouring of support after New York’s deadliest fire in more than a quarter-century is “a sign that the victims are not alone,” a neighborhood priest said.","Minutes before Sunday Mass at St. Martin of Tours Roman Catholic Church in the Bronx, as the music began, a man approached the Rev. Cosme Fernandes."
