headline,date,doc_type,material_type,section,keywords,abstract,lead_paragraph
The T Culture Issue,2013-06-01,article,News,,[],The worlds of culture and style stretch far and wide in the latest issue of T.,"The worlds of culture and style stretch far and wide in the latest issue of T. There is Andrew Solomon’s profile of Deeda Blair, a medical philanthropist, fashion icon and social mover; Andrew O’Hagan on Miuccia Prada, the fashion designer (and also art curator, film producer and more); and Katie Roiphe’s look at the French intellectual Bernard-Henri Lévy and his new exhibition on the relationship between art and philosophy. "
U.S. Says It Pursues More Prosecutions on Indian Lands,2013-06-01,article,News,,"['Crime and Criminals', 'Native Americans']","The Justice Department said its rate of criminal prosecutions in Indian country had risen by more than 50 percent in the past four years, a period in which violent crime soared.","The Justice Department said this week that it had increased its rate of criminal prosecutions in Indian country by more than 50 percent in the past four years, a period in which violent crime on the nation’s Indian reservations has soared and tribes have complained of lawlessness."
"Bill Austin, Pro Bowl Guard, Dies at 84",2013-06-01,article,Obituary (Obit),,"['Football', 'Coaches and Managers', 'Deaths (Obituaries)']","Mr. Austin played for the 1956 N.F.L. champion Giants, coached the Green Bay Packers’ offensive linemen for Vince Lombardi’s power sweep and was twice an N.F.L. head coach.","Bill Austin, a Pro Bowl guard who played for the Giants’ 1956 N.F.L. champions, coached the Green Bay Packers’ offensive linemen for Vince Lombardi’s power sweep and was twice an N.F.L. head coach, died on May 22 in Las Vegas. He was 84."
British Columbia Opposes Planned Oil Sands Pipeline,2013-06-01,article,News,,"['Keystone Pipeline System', 'Oil Sands', 'Environment']","Environmental groups said that British Columbia, which has been concerned about spills, has probably doomed the pipeline.",OTTAWA — A pipeline for exporting oil sands bitumen to Asia-bound tankers was dealt a severe blow on Friday when the province of British Columbia urged a federal review panel to reject the $6 billion plan.
Mississippi: Civil Liberties Groups Sue Over Prison,2013-06-01,article,Brief,,['Prisons and Prisoners'],"A state prison for mentally ill inmates operates “in a perpetual state of crisis,” a federal lawsuit filed by the A.C.L.U. and the Southern Poverty Law Center alleges.","A state prison for mentally ill inmates is so poorly maintained that prisoners sell rats to one another as pets and defecate into plastic bags because toilets are broken, a federal lawsuit filed Thursday says. The East Mississippi Correctional Facility operates “in a perpetual state of crisis,” with inmates resorting to setting fires to receive medical attention, the class action suit filed by the A.C.L.U. and the Southern Poverty Law Center alleges. It claims that the prison, a privately run facility near Meridian, has ignored complaints for years from inmates who later went blind or lost body parts to amputation after not receiving proper medical care. A spokeswoman for the state Department of Corrections declined to comment. "
The Politics of Free Food,2013-06-01,article,Op-Ed,,"['Campaign Finance', 'Corruption (Institutional)', 'Politics and Government', 'Governors (US)']",Virginia is for lovers of no-cost catering. Just look at the news from its very interesting off-year election.,"Today, let’s talk about Virginia, host of the nation’s most interesting off-year election. True, the New York mayor’s race has been pretty frisky since we acquired Anthony Weiner as a candidate, but I’m still going with Virginia."
Going Mobile: Pies That Really Roll,2013-06-01,article,News,,"['Pizza', 'Food Trucks', 'Restaurants', 'Catering']","In New Jersey, pizza trucks cater private events, offering pizza fresh from their mobile ovens.","Each spring, George Triola invites his golf buddies and their families over for a backyard party at his home in Milltown, N.J., to celebrate the end of the Masters golf tournament. As the guests watch the finale on an outdoor TV, the beer flows, and most years, Mr. Triola, 35, grills hot dogs. "
Concern Grows as Group Disappears in Mexico,2013-06-01,article,News,,"['Missing Persons', 'Youth', 'Bars and Nightclubs', 'Kidnapping']",Eleven young people — seven men and four women — never made it home after a night out in the trendy Zona Rosa neighborhood of the capital.,MEXICO CITY — Partygoers reveled inside a nightclub in the trendy Zona Rosa neighborhood here as the morning sun burned the asphalt outside.
California: Marijuana Seller Takes Plea Deal,2013-06-01,article,Brief,,"['Marijuana', 'Decisions and Verdicts', 'Medical Marijuana']","Matthew Davies, a medical marijuana store owner, abandoned a six-month legal battle against Washington and pleaded guilty to 10 charges of marijuana cultivation and distribution.","A medical marijuana store owner whose prosecution by the federal authorities highlighted vast disparities in how California and the Justice Department are responding to the medical marijuana industry abandoned a six-month battle against Washington on Friday and pleaded guilty to 10 charges of marijuana cultivation and distribution. The man, Matthew Davies, 35, had argued that his store in Stockton operated in accordance with California laws, after working extensively with accountants and lawyers before opening the business. But Benjamin B. Wagner, the United States attorney for the Eastern District of California, said, “Our investigation showed that it was all about the money.” Mr. Davies will serve a minimum of five years. "
Events in New Jersey,2013-06-01,article,Schedule,,"['Art', 'Culture (Arts)']",A guide to cultural and recreational events in New Jersey.,A guide to cultural and recreational events in New Jersey. Items for the calendar should be sent at least three weeks in advance to njtowns@nytimes.com.
"Robbed, She Moved Swiftly, but a Dawdler Got the Cash",2013-06-01,article,News,,"['Identity Theft', 'Banking and Financial Institutions', 'Robberies and Thefts']","A woman changed bank accounts and took other protective action after her wallet was taken, and yet bank tellers still handed a thief her money.","She was born and raised in New York City and is quick to add a preface to her story: Yes, she fully realizes she should have known better. But still. It is a stretch to say she could have seen coming what happened to thousands of her dollars in two different banks. "
U.S. Leaders for Olympics Mending Ties With I.O.C.,2013-06-01,article,News,,['Olympic Games'],"The United States Olympic Committee has made changes to satisfy the International Olympic Committee, bolstering a chance to host the 2024 Summer Games.","Like schoolchildren called to the principal’s office, two new executives for the United States Olympic Committee walked into the Westin Bayshore hotel in Vancouver to face International Olympic Committee officials. The U.S.O.C. and the I.O.C., at odds over how to split millions of dollars of revenue, had little mutual respect."
An Elizabethan Cyberwar,2013-06-01,article,Op-Ed,,"['United States Defense and Military Forces', 'Cyberwarfare', 'Computers and the Internet', 'Cyberattacks and Hackers', 'Computer Security', 'United States International Relations']","In confronting today’s cyberbattles, the United States should think less about Soviets and more about pirates.","NEW HAVEN — AS Barack Obama and China’s president, Xi Jinping, prepare to meet in California next week, America’s relations with China are feeling increasingly like the cold war — especially when it comes to cybersecurity."
"Woods Is Not in Top Form at the Memorial, but as Usual, He Makes the Cut",2013-06-01,article,News,,['Golf'],"Tiger Woods, the defending champion, posted a 36-hole total of one-over 145, assuring that he will extend to 14 his streak of consecutive cuts made at the Memorial Tournament.","DUBLIN, Ohio — Neither gusting winds nor searing heat nor fast greens nor slow play shall keep Tiger Woods from his appointed four rounds."
"Don Oliver, NBC Correspondent, Dies at 76",2013-06-01,article,Obituary (Obit),,"['Television', 'Deaths (Obituaries)', 'News and News Media']","Mr. Oliver covered major world events, like the conflicts in Laos, Cambodia and Vietnam, the Middle East peace talks in 1977 and the Civil War in El Salvador, for NBC News for more than 25 years.","Don Oliver, who reached a nightly national audience as a correspondent covering major events for NBC News for more than 25 years, died on Tuesday in Spokane, Wash. He was 76."
How Big Is That Park? City Now Has the Answer,2013-06-01,article,News,,"['Geography', 'Parks and Other Recreation Areas', 'Maps']","Over the last three years, the city has been resurveying its parks, relying on satellites instead of 19th century cartographers. There were both winners and losers.",A funny thing happened while backers and critics of a proposed Major League Soccer stadium were battling over 13 acres of Flushing Meadows-Corona Park. Three hundred and fifty eight acres of the heavily used park seemed to disappear.
Dramatic Scenes From Houston Fire,2013-06-01,article,News,,"['Deaths (Fatalities)', 'Fires and Firefighters']","Friday may have been the deadliest day in the history of the Houston Fire Department, officials said, with four firefighters killed while battling a five-alarm blaze in a large motel.","Friday may have been the deadliest day in the history of the Houston Fire Department, officials said, with four firefighters killed while battling a five-alarm blaze that ripped through a large motel on the city’s busy Southwest Freeway. Five more firefighters were taken to area hospitals with injuries, but little information about their condition was available on Friday evening."
The Frills Are Few. The Fees Are Not.,2013-06-01,article,News,,"['AIRLINES AND AIRPLANES', 'Prices (Fares, Fees and Rates)', 'Customer Relations']","Spirit Airlines prides itself for offering the lowest fares, then charging passengers for everything else.",There is a joke in the airline business that you could make money giving out free beer and charging a fee for the bathroom.
"To Compete, G.M. Alters a Sedan",2013-06-01,article,News,,"['Automobiles', 'Bankruptcies']","The revamped Malibu, along with new pickup trucks this summer, is part of an effort by General Motors to emerge from years of retrenching after its financial collapse.",DETROIT — General Motors introduced its revamped Chevrolet Malibu sedan on Friday — just a year after it put out the latest version of the car.
Hunch About Bloomberg Brought Rivals Together,2013-06-01,article,News,,['News and News Media'],Suspicions that Bloomberg was monitoring bank executives never amounted to much until an official at Goldman Sachs called his counterpart at JPMorgan.,"Goldman Sachs and JPMorgan Chase are usually bitter rivals, competing for lucrative banking and trading business. But one day in April, the Wall Street titans found common ground: frustration with the Bloomberg news and financial data empire."
Orioles’ Davis Emerging as Special Slugger,2013-06-01,article,News,,['Baseball'],"Baltimore first baseman Chris Davis, who was previously known for always striking out, led the majors with 19 homers through his first 53 games.","BALTIMORE — Before the Yankees and the Orioles began a three-game series at Camden Yards last week, Chris Davis, the Orioles’ starting first baseman, chatted with Robinson Cano. Davis playfully instructed Cano not to hit any home runs against the Orioles; Cano probably should have made the same request of Davis on behalf of the Yankees."
Inquiry Into Obama and Bloomberg Ricin Letters Leads to Search of a Texas House,2013-06-01,article,News,,"['Ricin (Poison)', 'Gun Control', 'Threats and Threatening Messages']","Federal investigators have questioned a man about letters laced with ricin that were mailed to President Obama and Mayor Michael R. Bloomberg, but no arrest has been made.","NEW BOSTON, Tex. — A quiet neighborhood in this small town in Northeast Texas has become the focus of the investigation into threatening letters laced with the deadly poison ricin that were mailed to President Obama and Mayor Michael R. Bloomberg of New York, the authorities said Friday."
"Father Greeley, Defender of the Faithful",2013-06-01,article,Editorial,,"['Priests', 'Child Abuse and Neglect', 'Sex Crimes', 'Editorials']",One of the most effective critics from within the Catholic Church spoke out early about the sexual abuse of children.,"The Rev. Andrew Greeley, who died this week in Chicago, gained fame and lots of money writing best-selling novels combining Catholicism, Irish America and sex. "
Untamed Melody,2013-06-01,article,News,,"['Music', 'Rock Music']","With words and homemade audio, the songwriter documents the birth of a few melodies and, hopefully, a song.","Lately I’ve been reading the memoirs of the 20th century Russian composer Dimitri Shostakovich. In one section, Shostakovich talks about Shakespeare, whose work was banned by Stalin. “Shakespeare speaks to us like a small child,” the composer writes. “When you talk to a child the words aren’t important. It’s what lies behind the words — the mood, the music.” He goes on: “When I speak to small children I often don’t delve in to the meaning of their babble I just listen to the timbres. It’s the same with Shakespeare. When I read Shakespeare, I give myself up to the flow. It doesn’t happen often. But those are the best moments. I read — and listen to his music.” "
Two Races in Two Days Add Up to Little Rest After Indianapolis 500,2013-06-01,article,News,,['Automobile Racing'],"IndyCar will introduce its twin-bill format this weekend with two full-point, 70-lap road races on at the Dual of Detroit.","DETROIT — Helio Castroneves acknowledged that he was tired, then yawned and apologized to his onlookers."
4 Firefighters Are Killed in Houston Motel Blaze,2013-06-01,article,News,,"['Fires and Firefighters', 'Deaths (Fatalities)']",Four firefighters died on Friday battling a five-alarm fire in Houston that began at a restaurant and ripped through a large motel.,"Four firefighters died battling a five-alarm blaze that ripped through a large motel on a busy highway in southwest Houston on Friday, the authorities said. The Houston Fire Department said it was the single deadliest day in department history. "
