headline,date,doc_type,material_type,section,keywords,abstract,lead_paragraph
Two Arrested in Killings of Transgender Women in Puerto Rico,2020-05-01,article,News,,"['Murders, Attempted Murders and Homicides', 'Hate Crimes']",The police said they had classified the deaths as a hate crime after the remains of two women were found in a badly burned car last week.,"A week after the bodies of two transgender women were found in a badly burned car in Puerto Rico, the police said Thursday that they had arrested two men in connection with the killings and had turned them over to the F.B.I."
Fiona Ex Machina,2020-05-01,article,News,,[],"Fiona Apple blows our minds, again.","“Fetch the Bolt Cutters” is Fiona Apple’s master class in channeling frustration and anger into what can only be called wisdom. Also, we hear from listeners all over the planet, sharing how they are taking care of the people in their lives."
No Graduation Ceremony? You Get Oprah!,2020-05-01,article,News,,"['Commencement Speeches', 'Colleges and Universities', 'Computers and the Internet', 'Coronavirus (2019-nCoV)']",Oprah Winfrey will give a virtual commencement address on Facebook for college and high school seniors across the United States.,"They will not get to share in the memories synonymous with college graduation — the collective tossing of caps, the hugs from friends and the walk across the stage to get their diplomas."
Coronavirus Briefing: What Happened Today,2020-05-01,article,briefing,,['Coronavirus (2019-nCoV)'],Public beaches have become a flashpoint as the U.S. begins to emerge from stay-at-home restrictions.,"As Americans wrestle with how to emerge from weeks of social-distancing restrictions, tensions are building between those who remain desperate to suppress the coronavirus and those who are desperate to get out of the house. And the nation’s beaches have become a flash point."
Closing Number of a Musical,2020-05-01,article,News,,['Crossword Puzzles'],Trenton Charlson raises the curtain on our solving weekend.,"FRIDAY PUZZLE — This puzzle by Trenton Charlson is another Friday dazzler worth showing up for. Not only does it have a generous sprinkling of high-score Scrabble letters (just take a gander at the four Z’s in the northeast!), the entries are flashy and fun. The topics covered in the puzzle are plentiful, giving even a Friday-averse solver a chance at conquering it. And overall, the tone of the puzzle is cheery and optimistic, the perfect antidote to what we are all going through right now during the pandemic."
Labs Across U.S. Join Federal Initiative to Study Coronavirus Genome,2020-05-01,article,News,,"['Genetics and Heredity', 'Coronavirus (2019-nCoV)', 'Medicine and Health', 'Research', 'Epidemics', 'Vaccination and Immunization', 'Laboratories and Scientific Equipment']","The project, announced by the C.D.C., will help trace patterns of transmission, investigate outbreaks and map how the virus is evolving, which can affect a cure.","The Centers for Disease Control and Prevention on Thursday announced a national initiative to speed research into how the coronavirus was spreading around the country, bringing together at least 75 public health, academic and commercial institutions studying its genome."
"Corrections: May 1, 2020",2020-05-01,article,Correction,,[],"Corrections that appeared in print on Friday, May 1, 2020.","An article on Saturday about some states that are allowing businesses to reopen misidentified the location of a drive-by protest in Atlanta. It was outside the Governor’s Mansion, not the governor’s office."
Quotation of the Day: Billions Slide Down Ladder That Took Decades to Climb,2020-05-01,article,Quote,,[],"Quotation of the Day for Friday, May 1, 2020.",“The garment factory helped me and my family to get out of poverty. But the coronavirus has pushed me back in.”
"Making Space in Marriage, Even as the Walls Close In",2020-05-01,article,News,,"['Love (Emotion)', 'Marriages', 'Burning Man Festival']","She didn’t want to go to Burning Man (for all the reasons people don’t), but then there she was, dancing naked in the desert, and it was good.","It was a week before our 25th anniversary, and I wanted out."
U.S. Stocks End the Week Lower After Tech Earnings,2020-05-01,article,News,,"['United States Economy', 'Coronavirus (2019-nCoV)', 'Stocks and Bonds', ""Standard & Poor's 500-Stock Index""]",The latest on stock market and business news during the coronavirus outbreak.,This briefing is no longer updating. Read the latest developments in the coronavirus outbreak here.
Companies Sell the Blood of Recovered Coronavirus Patients for Exorbitant Prices,2020-05-01,article,News,,"['Coronavirus (2019-nCoV)', 'AIRLINES AND AIRPLANES', 'Politics and Government']","The W.H.O. extends the global health emergency as deaths near 240,000, and our New Delhi correspondent paints a portrait of a fearful city.","Some biotech companies are cashing in on the race to produce coronavirus antibody tests, taking blood samples from people who have been infected and selling them at exorbitant prices."
"Coronavirus, E.C.B., Chinese Lab: Your Friday Briefing",2020-05-01,article,briefing,,[],Here’s what you need to know.,(Want to get this briefing by email? Here’s the sign-up.)
Anderson Cooper Announces Birth of His First Child,2020-05-01,article,News,,"['Television', 'Surrogate Motherhood']","Wyatt Morgan Cooper, who is named after the newscaster’s late father, was delivered by a surrogate.","Anderson Cooper signed off from a weekly CNN coronavirus town hall Thursday night by sharing some uplifting news, telling viewers that earlier in the week, he had become a father."
Will New N.C.A.A. Rules Really Keep Agents and Boosters at Bay?,2020-05-01,article,News,,"['Football (College)', 'Basketball (College)', 'College Athletics', 'AMATEUR ATHLETICS']","If college athletes are permitted to cash in on their fame, how can the N.C.A.A. forbid guidance from people who have long worked in the shadows?","The world of college sports was rocked nearly 30 years ago when a Las Vegas newspaper published a photograph of three U.N.L.V. basketball players casually drinking beer in a hot tub with Richard Perry, a man nicknamed the Fixer who was known for rigging horse races and basketball games."
Hundreds of Rohingya Refugees Stuck at Sea With ‘Zero Hope’,2020-05-01,article,News,,"['Rohingya (Ethnic Group)', 'Refugees and Displaced Persons', 'Human Trafficking', 'Coronavirus (2019-nCoV)']","At least three boats carrying Rohingya refugees have been adrift for more than two months. As of this week, rights groups that had been tracking the boats lost sight of them.","BANGKOK — Somewhere in turquoise waters, perhaps where the Bay of Bengal meets the Andaman Sea, wooden boats filled with Rohingya refugees are listing, adrift now for more than 10 weeks."
Michigan Governor Reinstates State of Emergency as Protests Ramp Up,2020-05-01,article,News,,"['Demonstrations, Protests and Riots', 'Coronavirus (2019-nCoV)', 'State Legislatures', 'Quarantines', 'Executive Orders and Memorandums']",The governor’s moves were in response to the Republican-led Legislature’s refusal to extend the original emergency declaration.,"Gov. Gretchen Whitmer of Michigan, a prime political target in partisan clashes over stay-at-home orders during the coronavirus outbreak, signed three executive orders on Thursday to reinstate a state of emergency during the coronavirus pandemic."
Tennis Coming Back Slowly With Exhibition Matches,2020-05-01,article,News,,"['Tennis', 'Shutdowns (Institutional)', 'Coronavirus (2019-nCoV)']",The small-scale events could create a road map to help the men’s and women’s tours return.,"Tennys Sandgren, who was on a roll before professional tennis shut down, has had enough of video games and self-isolation in his home near Nashville, Tenn."
What’s on TV Friday: ‘Hollywood’ and ‘Prop Culture’,2020-05-01,article,News,,"['Television', 'Movies']",A soapy period drama from two creators of “Glee” debuts on Netflix. And a new series on Disney Plus showcases famous film props.,"HOLLYWOOD Stream on Netflix. Hollywood’s golden era is viewed through a gilded but piercing lens in this soapy new mini-series, from Ryan Murphy and Ian Brennan, both of “Glee.” Set in a sumptuous version of 1940s Los Angeles, “Hollywood” imagines a more inclusive version of that era’s Tinseltown. Many characters are people to whom the real Hollywood would have been hostile. They include Archie (Jeremy Pope), an aspiring screenwriter who is black and gay, and has a movie to sell. He teams up with a young director (Darren Criss) to make that dream a reality. “The bid to make Archie’s movie starts as a glitzy, funny, gimlet-eyed dissection of bigotry and power,” James Poniewozik wrote in his review for The New York Times. “Then it lurches, halfway through, into a pep talk about what some kids can accomplish if they gather up their moxie and put on a show.”"
"Locked Inside, We’re Like Whitman, Finding Joy in Smallness",2020-05-01,article,News,,['Books and Literature'],Interpreting lines from “Leaves of Grass” about the beauty and wonder to be discovered in the minuscule and routine.,
Racing Against the Virus From Inside Australia’s Healthcare System,2020-05-01,article,briefing,,"['Emergency Medical Treatment', 'Coronavirus (2019-nCoV)', 'Hospitals']",An emergency room doctor in Melbourne describes the terror and relief of waiting for a tsunami of coronavirus patients that never arrived.,"When my director cut short his camping holiday on Australia Day, to come back to the emergency department at the Melbourne hospital where I work as an emergency physician, I thought he was unnecessarily sacrificing his life for the sake of his work. Covid-19 was still mainly confined to China. Italy was not yet in crisis and New York wasn’t even on our radar. But in hindsight, his return was prudent."
Word + Quiz: peroration,2020-05-01,article,News,,[],This word has appeared in three articles on NYTimes.com in the past year.,_________
"‘Hospital Needs to Be Quarantined,’ but Works On in Country at War",2020-05-01,article,News,,"['Quarantines', 'Hospitals', 'Coronavirus (2019-nCoV)', 'Afghanistan War (2001- )', 'Epidemics']","Twenty percent of the staff at one hospital is quarantined, but doors remain open as the war wounded are brought in.","KABUL, Afghanistan — Even when their city was repeatedly overrun by the Taliban and fighting reached their doorsteps, the doctors and nurses in the northern Afghan city of Kunduz kept working. They dressed wounds and saved lives at the main government hospital even as a nearby trauma center was bombed, killing more than 40 people."
Eyeballs,2020-05-01,article,News,,[],What is this image saying? How does it relate to or comment on society or current events?,What is this image saying? How does it relate to or comment on society or current events? What is your opinion of its message?
