headline,date,doc_type,material_type,section,keywords,abstract,lead_paragraph
How to watch the Golden Globes on TV and Online.,2021-03-01,article,News,,[],A quick guide to watching the ceremony.,"When the 78th annual Golden Globes are handed out on Sunday, they will be the first major awards show of the season, coming nearly two months after we would typically find out the best picture winner."
What will win tonight? Here are our predictions.,2021-03-01,article,News,,[],"The Hollywood Foreign Press Association, which puts on the Golden Globes, likes to bestow its trophies on films that already have plenty of Oscar momentum, but the small size of the group — around 90 eccentric journalists who vote — leaves every category open to a shock winner.","The Hollywood Foreign Press Association, which puts on the Golden Globes, likes to bestow its trophies on films that already have plenty of Oscar momentum, but the small size of the group — around 90 eccentric journalists who vote — leaves every category open to a shock winner."
Daniel Kaluuya and Chadwick Boseman are both recognized for film roles.,2021-03-01,article,News,,"['Black People', 'Blacks', 'Actors and Actresses', 'Golden Globes (Awards)']","Daniel Kaluuya won for his performance as the Black Panther leader Fred Hampton in “Judas and the Black Messiah,” while Chadwick Boseman was awarded a posthumous Globe for his role in “Ma Rainey’s Black Bottom.”","As soon as nominations were announced on Feb. 3, the foreign press association was harshly criticized for overlooking films with mostly Black casts, including Spike Lee’s “Da 5 Bloods.” But the ceremony began with back-to-back honors for Black actors. The night’s first winner was Daniel Kaluuya, for best supporting actor for his performance as the Black Panther leader Fred Hampton in “Judas and the Black Messiah.” John Boyega then won best supporting actor in a TV series for playing a police officer in Amazon’s “Small Axe.”"
Full Text of Cuomo’s Statement in Response to Harassment Accusations,2021-03-01,article,News,,"['Sexual Harassment', 'Speeches and Statements']",Gov. Andrew Cuomo issued a statement on Sunday in response to accusations of sexual harassment.,STATEMENT FROM GOVERNOR ANDREW M. CUOMO
Forget ‘Succession.’ You Can Watch ‘90 Day Fiancé’ for 100 Hours Straight.,2021-03-01,article,News,,"['Mobile Applications', 'Video Recordings, Downloads and Streaming', 'Reality Television', 'Television']","Discovery’s new app has taken off largely because viewers love watching people fix houses, tour diners and bicker about their relationships.","“Ninety Day Fiancé” is, on some Sunday nights, the most-watched show on television. And in the latest innovation in streaming, Discovery+ includes a channel that lets you watch it for four days straight without seeing the same episode twice."
Voter Suppression Is Grand Larceny,2021-03-01,article,Op-Ed,,"['Black People', 'Blacks', 'Voter Registration and Requirements', 'United States Politics and Government', 'Race and Ethnicity', 'Law and Legislation', 'Elections']",We are watching another theft of power.,"In 1890, Mississippi became one of the first states in the country to call a constitutional convention for the express purpose of writing white supremacy into the DNA of the state."
"CPAC Takeaways: Trump Dominates, and DeSantis and Noem Stand Out",2021-03-01,article,News,,"['Presidential Election of 2020', 'Voter Fraud (Election Fraud)']","At their three-day gathering, pro-Trump conservatives tried to turn “cancel culture” into their new “fake news” and spent little time on policy (either their own or President Biden’s).","Any lingering belief that Donald J. Trump would fade from the political scene like other past presidents evaporated fully on Sunday as he spoke for more than 90 minutes in a grievance-filled and self-promoting address that sought to polish up his presidential legacy, take aim at his enemies and tease his political future."
Golden Globes Winners 2021: The Complete List,2021-03-01,article,News,,"['Movies', 'Actors and Actresses', 'Television', 'Golden Globes (Awards)']","Here are the winning films, TV shows, actors and production teams at the 2021 Golden Globe Awards.",Streaming services dominated Sunday night’s Golden Globe Awards ceremony.
Daniel Kaluuya overcomes the first hiccup of the night.,2021-03-01,article,News,,"['Black People', 'Blacks', 'Movies', 'Golden Globes (Awards)']","Accepting the award for best supporting actor in a film for his role in “Judas and the Black Messiah,” his remote speech was initially muted.",Daniel Kaluuya experienced the first glitch of the night when the time came to accept his best supporting actor win — the first Golden Globe Award of his career — for playing the radical leader Fred Hampton in “Judas and the Black Messiah.”
Transcript: Amy Poehler and Tina Fey skewer the H.F.P.A.’s lack of diversity.,2021-03-01,article,News,,"['Golden Globes (Awards)', 'Movies']","From opposite coasts, their split-screen opening of the Golden Globes took on the turn to streaming in the pandemic.","What’s 2,800 miles between friends? On Sunday night at the Golden Globes, Amy Poehler and Tina Fey managed to convey their signature chemistry and cheeky brand of comedy while deftly hosting from opposite ends of the country: Fey at the Rainbow Room in Rockefeller Center in New York, and Poehler at the Beverly Hilton in Beverly Hills. The rooms were not completely empty: first responders sat at tables, masked and socially distant."
