headline,date,doc_type,material_type,section,keywords,abstract,lead_paragraph
"After Hurricane Sandy Wreaked Havoc, A Changed Perspective ",2013-12-01,article,News,,['Philanthropy'],"Takashi Fujimoto, who sustained an electric shock and a minor stroke as Hurricane Sandy battered his home on Staten Island, is thankful for the “angels and heroes” who have helped him.","It is fair to say Takashi Fujimoto has an independent streak. As an artistic young man growing up in postwar Hiroshima, Japan, during the grim years after the 1945 nuclear blast, he dreamed of leaving home to pursue his love of photography and escape the rigid expectations of what he termed a very conservative society."
Politics and a Ruptured Tendon Don’t Faze Lead Iran Negotiator,2013-12-01,article,News,,"['United States International Relations', 'Nuclear Weapons']","The focus of Wendy Sherman over the past two years helped prepare the ground for talks with Iran that gained momentum, both in public and through a secret channel.","WASHINGTON — On her way to brief highly skeptical members of Congress about the deal she was still negotiating in secretive talks with the Iranians, Wendy Sherman, the State Department’s No. 3 official and its lead negotiator with Tehran, fell and ruptured a tendon in her finger. She packed it in ice, went to a secure room, and continued her briefing on uranium enrichment levels and current intelligence about the intentions of America’s longtime adversary. Only then did she head to the emergency room. "
"For Fordham, a Special Season Lives On ",2013-12-01,article,News,,['Football (College)'],"The Rams earned their program-record 12th victory by beating Sacred Heart, 37-27, in a Football Championship Subdivision playoff game.","Reminders of the glory days of Fordham football are everywhere. The famed Seven Blocks of Granite are honored with a monument erected in 2008. Vince Lombardi, a guard on that unit and later a renowned coach, will forever be celebrated as a towering figure in the university’s history."
"A Rustic Paradise, Open for Development",2013-12-01,article,News,,"['Area Planning and Renewal', 'Agriculture and Farming', 'Wines', 'Local Government', 'Zoning']","New zoning rules will open northwestern Mexico’s agricultural heartland to denser housing and golf courses, but there is concern that the Guadalupe Valley cannot sustain this intensified development.","GUADALUPE VALLEY, Mexico — The doors were locked. The lights were out. When Hugo D’Acosta and 60 of his neighbors reached Ensenada City Hall after being tipped off to a nighttime vote that would open their beloved wine region to Florida-style housing and golf courses, they had to shout just to get in."
Traffic Agent Is Fatally Struck in Manhattan,2013-12-01,article,News,,['Traffic Accidents and Safety'],"The officer, Kalyanarat Ranasinghe, 71, was hit by an industrial street cleaning truck in Midtown.",A traffic enforcement agent was struck and killed by an industrial street-cleaning truck amid throngs of holiday shoppers in Midtown Manhattan on Saturday in what officials said was most likely an accident.
Thanksgiving Openings Take Sales From Black Friday,2013-12-01,article,News,,"['E-Commerce', 'Shopping and Retail', 'Black Friday and Cyber Monday (Shopping)', 'Thanksgiving Day', 'Computers and the Internet', 'United States Economy']","More large retailers were open on Thanksgiving Day this year, and it appears those openings nibbled away not only at the holiday, but at the sales the day after, too.",Shoppers who braved the sales on Black Friday may have wondered at the size of the crowds. Did they seem a bit smaller than in years past?
Knicks Find Solace in Quality of Losses,2013-12-01,article,News,,['Basketball'],"The Knicks have lost eight straight games, their longest stretch since 2010, and have been left with little by which to assess their progress.",DENVER — The mood lifted in the Knicks’ locker room after Friday night’s game here. Raymond Felton said that they had “turned this thing around.” Carmelo Anthony said he could sense “the trust in one another out there.” J. R. Smith seemed relieved that the Knicks were “getting over the hump.”
"Joe on WNYC’s “Money Talking”: Nov. 29, 2013",2013-12-01,article,News,,[],"This week, Joe discusses the challenges facing Blackberry, H.P. and Cisco.","A lot of iconic companies in the tech sector like H.P., Cisco and Blackberry have been struggling recently. This week on Money Talking, regular contributors Joe Nocera and Rana Foroohar of Time magazine consider if the challenges are the result of problems at the company or external forces. Are these tech companies canaries in the coal mine for an impending stock market correction? Also, a look ahead to a Supreme Court case involving Halliburton, and how sanctions being lifted in Iran could affect that country’s economy."
One Second Dooms No. 1 Alabama,2013-12-01,article,News,,['Football (College)'],"Alabama was ambushed by Auburn on a last-second, length-of-the-field runback on the Crimson Tide’s fourth missed field-goal attempt of the game.","AUBURN, Ala. — A football dynasty died Saturday, or at least went comatose."
"Winning Lottery Numbers for Nov. 30, 2013",2013-12-01,article,List,,['Lotteries'],"Lottery numbers for New York, New Jersey and Connecticut.","Nov. 30, 2013"
