headline,date,doc_type,material_type,section,keywords,abstract,lead_paragraph
This Should Be Biden’s Bumper Sticker,2020-07-01,article,Op-Ed,,"['Presidential Election of 2020', 'Coronavirus (2019-nCoV)', 'United States Politics and Government']","He will need a simple, clear message to counter Trump’s “Make America Great Again” trope.","I almost — but not quite — feel sorry for Donald Trump. He’s at war with two “invisible enemies” at once — the coronavirus and Joe Biden — and both remain highly elusive, the pathogen by nature and the politician by design."
"Corrections: July 1, 2020",2020-07-01,article,Correction,,[],"Corrections that appeared in print on Wednesday, July 1, 2020.",An article on Saturday about the European Union’s decision to bar most U.S. citizens from entry misstated Greece’s position on allowing visitors from outside the bloc. Greece has allowed visitors from outside the E.U. but has considered them authorized travelers. It did not ignore E.U. recommendations.
Why Does Trump Put Russia First?,2020-07-01,article,Op-Ed,,"['United States Politics and Government', 'United States Defense and Military Forces', 'United States International Relations', 'Afghanistan War (2001- )', 'Espionage and Intelligence Services']",It’s exceedingly difficult to believe that no one told the president about the intelligence on Russian efforts to harm Americans in Afghanistan.,"Since at least February, and possibly as early as March 2019, the United States has had compelling intelligence that a committed adversary, Russia, paid bounties to Taliban-linked fighters to kill American troops in Afghanistan. American service members were reportedly killed as a result."
Senate Approves Extending Small-Business Program,2020-07-01,article,News,,"['Coronavirus Aid, Relief, and Economic Security Act (2020)', 'Small Business', 'United States Politics and Government', 'Coronavirus (2019-nCoV)', 'United States Economy']",The Senate granted five additional weeks for the remaining money left in the program to be spent.,"WASHINGTON — The Senate voted Tuesday evening to extend a federal loan program by five additional weeks, a surprise move that would allow small businesses weathering the pandemic to continue receiving aid."
Quotation of the Day: The Fight Over Abortion Rights Feels Less Urgent for a Generation,2020-07-01,article,Quote,,[],"Quotation of the Day for Wednesday, July 1, 2020.","“It’s not that young people don’t care about abortion, it’s that they don’t think it applies to them.”"
"Tulsa Police Sergeant, One of Two Officers Shot During Traffic Stop, Dies",2020-07-01,article,News,,"['Murders, Attempted Murders and Homicides']","David Anthony Ware was charged with first-degree murder in the death of Sgt. Craig Johnson, the authorities said.","A police sergeant who was shot during a traffic stop in Tulsa, Okla., early Monday morning died of his injuries on Tuesday, and another officer who was critically wounded remained hospitalized, the authorities said."
Connections on Air France,2020-07-01,article,News,,['Crossword Puzzles'],Amanda Rafkin and Ross Trudeau take flight.,"WEDNESDAY PUZZLE — In an interesting take on the “trickle-down” theory of economics, the constructors Amanda Rafkin and Ross Trudeau offer us a Downs-only theme that will make us richer in puns when we’ve finished solving."
Mississippi Governor Signs Law to Remove Flag With Confederate Emblem,2020-07-01,article,News,,"['Flags, Emblems and Insignia', 'George Floyd Protests (2020)', 'Black Lives Matter Movement', 'Civil War (US) (1861-65)', 'Law and Legislation']","The state flag, which features the blue bars and white stars of the Confederate battle flag, had flown over Mississippi for 126 years. It must be removed within 15 days.","JACKSON, Miss. — Just a few weeks ago, as Mississippi lawmakers mobilized to take down the only state flag in the nation with the Confederate battle emblem embedded into it, Gov. Tate Reeves said the choice was not theirs to make."
Eight Police Officers in Louisiana Face Charges of Excessive Force,2020-07-01,article,News,,"['Police Brutality, Misconduct and Shootings']","A driver and his passenger had their hands raised after a police pursuit but wound up with broken bones, a district attorney said.","When Chico Bell eventually stopped the Chevrolet truck he was driving as police officers pursued him in January, he and another man in the vehicle raised their hands in what a district attorney in Louisiana said in a statement was “an apparent attempt to surrender without resistance.”"
"Harsh Penalties, Vaguely Defined Crimes: Hong Kong’s Security Law Explained",2020-07-01,article,News,,"['Law and Legislation', 'Hong Kong Protests (2019)', 'Secession and Independence Movements', 'Politics and Government', 'International Relations']","The legislation grants Beijing broad powers to crack down on a variety of political crimes, including meting out life imprisonment for “grave” offenses. But the law is rife with ambiguities.","The sweeping new national security law that China imposed on Hong Kong, aimed at stamping out opposition to the ruling Communist Party in the former British colony, is as “devastating” as some critics feared, a human-rights activist said on Wednesday."
