headline,date,doc_type,material_type,section,keywords,abstract,lead_paragraph
"From Google, on Its Advertising Tech Business",2021-07-01,article,Letter,,"['Online Advertising', 'Advertising and Marketing']",“Our research shows that publishers’ revenue increases when they use our tools — that’s why they choose to use them!” a Google official writes.,To the Editor:
The N.B.A. Champion May Be the Last Team Standing,2021-07-01,article,News,,"['Sports Injuries', 'Basketball', 'Playoff Games', 'NBA Championship']","Injuries to stars have dominated and reshaped the playoffs, raising questions about the legacy of the team that wins it all.","The Milwaukee Bucks were in the midst of a comeback on Tuesday against the Atlanta Hawks, who were without their best player, Trae Young. With the Bucks up by two games to one in the best-of-seven Eastern Conference finals series, a win would have put the franchise on the brink of making its first N.B.A. finals since 1974."
"A poll reveals another U.S. vaccine divide, this one by household.",2021-07-01,article,News,,"['Vaccination and Immunization', 'Paid Time Off', 'Polls and Public Opinion']",Workers were more likely to get a shot when their employers encouraged them and provided paid time off.,"A new poll has found that Americans are sharply divided by household over vaccination status, with 77 percent of vaccinated adults saying everyone in their household is vaccinated and a similar share (75 percent) of unvaccinated adults saying no one they live with is vaccinated."
Judge Blocks Florida Law Regulating Social Media Companies,2021-07-01,article,News,,"['Social Media', 'Censorship', 'Computers and the Internet', 'Decisions and Verdicts', 'Law and Legislation']","It would fine companies like Facebook, YouTube and Twitter if they permanently bar candidates for office in the state.",A judge on Wednesday blocked a Florida law that would be the first in the nation to prohibit social media companies from barring political candidates.
James Franco Agrees to Pay $2.2 Million to Settle Sexual Misconduct and Fraud Lawsuits,2021-07-01,article,News,,"['Suits and Litigation (Civil)', 'Compensation for Damages (Law)', 'Women and Girls', 'Sex Crimes', 'Frauds and Swindling', 'Actors and Actresses']","Two former students of Mr. Franco’s acting school had accused him of subjecting them to sexually exploitative auditions and film shoots. In the proposed settlement, he did not admit wrongdoing.","The actor James Franco has agreed to pay more than $2.2 million to settle a pair of lawsuits, including one from two former students of his acting school who said he had subjected them to sexually exploitative auditions and film shoots."
Curling Locales,2021-07-01,article,News,,['Crossword Puzzles'],Joe Deeney makes a deal out of things.,"THURSDAY PUZZLE — Without giving away spoilers, there is a technical issue that may be preventing some solvers who are playing in the iOS and Android apps from seeing the puzzle correctly. "
"Greg Noll, Surfing Superstar Who Tackled the Big Waves, Dies at 84",2021-07-01,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Surfing']","Known as ‘Da Bull,’ he caught waves in Hawaii, California, Australia and Mexico. One expert said he “could be the Babe Ruth of surfing.”","Greg Noll, a fearless surfer and a superstar in his sport who in the 1960s tackled stunningly big waves in Hawaii, died on Monday in Crescent City, Calif., about 20 miles south of Oregon. He was 84."
Pictures From a Revolution: China’s Communists Mark a Centennial,2021-07-01,article,News,,"['Politics and Government', 'Hong Kong Protests (2019)']",The improbable rise of a superpower that was born in the rubble of dynasty and fears it may yet meet the same fate.,"In the summer of 1921, there was nothing inevitable about the Communist Party of China, even its survival. Especially its survival."
"Corrections: July 1, 2021",2021-07-01,article,Correction,,[],"Corrections that appeared in print on Thursday, July 1, 2021.","An article on Wednesday about the decision by Representative James Clyburn of South Carolina to endorse Shontel Brown for Congress misstated which House Democratic leaders had agreed to vacate their posts after this Congress. Although Speaker Nancy Pelosi initially considered a deal with limits on all three of the top Democratic leaders, the deal ultimately applied only to her, not all three."
Your Thursday Briefing,2021-07-01,article,briefing,,[],A global virus surge.,"A year and a half since it began, the pandemic is on the rise again in much of the world, driven largely by the highly contagious Delta variant and other new types. Scientists believe that variant, first identified in India, may be twice as transmissible as the original coronavirus."
