headline,date,doc_type,material_type,section,keywords,abstract,lead_paragraph
U.S. Allies Denounce Trump’s Tariffs Decision,2018-06-01,multimedia,Video,,"['International Trade and World Market', 'Customs (Tariff)', 'Politics and Government']","Leaders and officials from the E.U., Canada and Mexico were united in their disapproval of President Trump’s move to place tariffs on metals, which could provoke retaliation against American businesses.","Leaders and officials from the E.U., Canada and Mexico were united in their disapproval of President Trump’s move to place tariffs on metals, which could provoke retaliation against American businesses."
Dinesh D’Souza? Really?,2018-06-01,article,Editorial,,"['Amnesties, Commutations and Pardons', 'United States Politics and Government']",There’s a pattern emerging for Trump’s pardons — he’s using them as a weapon.,"The handful of pardons that President Trump has granted so far may appear to be scattershot, but they’re beginning to show a distinct pattern — not just of who he believes is worthy of mercy, but of how he thinks about the justice system as a whole and about his power to bend it to his will."
Cuomo Finally Says the Obvious: He Backs the Transit Rescue Plan,2018-06-01,article,News,,"['Transit Systems', 'Politics and Government', 'Elections, Governors']",What took so long? Maybe the timing had something to do with Cynthia Nixon.,"Gov. Andrew M. Cuomo may have played coy about embracing the new transit rescue proposals when they were announced last week, but on Thursday he jumped in with both feet."
Quotation of the Day: Jury in Wrongful Death Suit Gives $4 to Family of Black Man Shot by Deputies,2018-06-01,article,Quote,,[],"Quotation of the Day for Friday, June 1, 2018.",“I think they were trying to insult the case. Why go there with the $1? That was the hurtful part.”
Review: Jim Parsons and Zachary Quinto Enter Sniping in ‘The Boys in the Band’,2018-06-01,article,Review,,['Theater'],"Mart Crowley’s epochal 1968 comic drama at last makes its Broadway debut, in Joe Mantello’s entertaining but disconnected production.","Holy social anthropology! What is this strange and barbaric tribal ceremony that our unsuspecting traveler has stumbled upon? Men are actually dancing with — gasp — other men, in a wrist-flicking, hip-wriggling, keister-twitching chorus line."
"Corrections: June 1, 2018",2018-06-01,article,Correction,,[],"Corrections appearing in print on Friday, June 1, 2018.",FRONT PAGE
Winter Carnival Spectacle,2018-06-01,article,News,,['Crossword Puzzles'],Andrew J. Ries swashbuckles his way through a Friday puzzle.,"When I see incredible, long entries zipping through a grid in both directions, I think of Zorro. Bear with me on this, I do have a point."
Watch Now: Excerpts From the 25 Best New American Plays,2018-06-01,article,News,,['Theater'],See and hear what makes our critics’ favorites so powerful. ,There’s no substitute for seeing a play performed. But even a short recording can give you a strong impression. 
Old Pest Torments Mets: The Injury Bug,2018-06-01,article,News,,"['Sports Injuries', 'Baseball']","Several notable injuries throughout the organization have been contributing factors to a ragged 10-18 May, during which the Mets were one of the worst teams in baseball.","The topic of injuries in Flushing can be a sensitive one. From 2010 to 2017, the Mets ranked sixth in the majors in games missed because of injury. A rash of ailments during the disappointing 2017 season led to an overhaul of the team’s medical procedures and personnel."
Archdiocese in Minnesota Plans to Settle With Abuse Victims for $210 Million,2018-06-01,article,News,,"['Priests', 'Sex Crimes', 'Child Abuse and Neglect', 'Suits and Litigation (Civil)', 'Clergy', 'Bankruptcies', 'Statutes of Limitations']","If approved, the settlement will be the largest ever for a sex abuse case involving an archdiocese that has filed for bankruptcy protection.","In one of the biggest settlements of its kind, the Archdiocese of St. Paul and Minneapolis plans to establish a $210 million trust fund for hundreds of victims of clergy sexual abuse, the archbishop announced on Thursday."
Anatomy of a Scene | ‘Adrift’,2018-06-01,multimedia,Video,,['Movies'],The director Baltasar Kormakur narrates a sequence from his film featuring Shailene Woodley and Sam Claflin.,The director Baltasar Kormakur narrates a sequence from his film featuring Shailene Woodley and Sam Claflin.
 The Ones We Left Behind,2018-06-01,article,News,,['Theater'],"Majority rule (mostly). One play per playwright. How we put together the 25 Plays list, and a bid to remember notable writers and favorite works that missed the cut. ",We started with 75.
Yankees Endure Another Postponement,2018-06-01,article,News,,['Baseball'],"The team’s game Thursday in Baltimore was rained out, the Yankees’ sixth game this season to be affected by subpar weather.",BALTIMORE — The first game of the Yankees’ four-game series against the Baltimore Orioles was postponed by rain Thursday night.
When Neither Male Nor Female Seems to Fit,2018-06-01,article,News,,"['Women and Girls', 'Transgender and Transsexuals', 'Dating and Relationships', 'Love (Emotion)']","What happens when a transgender person, who fantasizes about having an androgynous body, falls for a straight man who loves female curves?","“I’m queer,” I told Charlie. A soft opener. For a millennial like me, this is like saying, “I’m not like other girls.”"
Election Day for a Beleaguered Turkish Soccer Power,2018-06-01,article,News,,['Soccer'],"Fenerbahce, a storied club with a history of success, has fallen on hard times. Will its members vote for a new president, or stick with the longtime incumbent?","ISTANBUL — Ahead of an election on Sunday that could shape the fate of one of Europe’s most storied soccer clubs, the opposition candidate’s supporters packed a hall here. They chanted while waving navy and yellow scarves, anticipating the arrival of the man they hope will shake the organization from the top and restore its crumbled stature."
"Tariffs, Italy, Telegram: Your Friday Briefing",2018-06-01,article,briefing,,[],Here’s what you need to know to start your day.,(Want to get this briefing by email? Here’s the sign-up.)
